timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.1438664561,[-0.1894398  -0.30155665],"[ 1.16700597  2.27874412  0.08271123 -0.63498821  0.58524468 -0.13681607
  1.08237724 -0.37829519  0.82564978  0.23191349  0.        ]",-0.776629,"[[ 0.02171734  0.05073696  0.06850277 -0.01751211]
 [ 0.00480683  0.00155142  0.          0.        ]]",[-0.80606884  1.77847242],[-0.64658548  1.73280872]
1,-0.143577861188,[-0.1894398  -0.30155665],"[ 1.16731752  2.27474238  0.04455676 -0.49685855  0.58524371 -0.1368159
  1.00783416  0.17127319  0.82490617  0.22311729  0.        ]",-0.594257,"[[ -3.86623126e-03   9.05054927e-02   6.85027651e-02  -1.75121112e-02]
 [ -2.55463717e+00   3.96209883e+00   0.00000000e+00   0.00000000e+00]]",[-1.06379104  1.54369533],[-1.80344916  1.50062754]
2,-0.141849767153,[-0.1894398  -0.30155665],"[ 1.16121511  2.24972398 -0.08990251 -0.09010019  0.58524275 -0.13681572
  0.89404934  0.71003023  0.81939773  0.17081702  0.        ]",-0.572348,"[[-0.09415779  0.20870337  0.06850277 -0.01751211]
 [-6.46151332  7.84473597  0.          0.        ]]",[-1.28112757  1.35116255],[-1.95413071  1.39288358]
3,-0.137172034295,[-0.1894398  -0.30155665],"[ 1.12032089  2.16632869 -0.33571473  0.55657489  0.58524179 -0.13681555
  0.78251317  1.23809932  0.79480885  0.05244259  0.        ]",-0.557853,"[[ -0.2618121    0.40378158   0.06850277  -0.01751211]
 [-10.29119302  11.65036483   0.           0.        ]]",[-1.48072481  1.18132484],[-1.80713097  1.14836413]
4,-0.128037367396,[-0.1894398  -0.30155665],"[ 0.99495465  1.96981369 -0.67165322  1.36230625  0.58524083 -0.13681538
  0.67317505  1.75566037  0.72473842 -0.11952156  0.        ]",-0.364812,"[[ -0.5053024    0.6742134    0.06850277  -0.01751211]
 [-14.04540999  15.38030413   0.           0.        ]]",[-1.66956592  1.03933918],[-3.59320285  0.86279204]
5,-0.113082188169,[-0.1894398  -0.30155665],"[ 0.72586243  1.61208478 -1.04333905  2.14288698  0.58523986 -0.13681521
  0.56598693  2.18748703  0.57853452 -0.31826536  0.        ]",-0.5729,"[[ -8.23135772e-01   1.01304602e+00   6.85027651e-02  -1.75121112e-02]
 [ -1.77258116e+01   1.84924430e+01   0.00000000e+00   0.00000000e+00]]",[-1.84195793  0.87688065],[-1.41781761  1.03120115]
6,-0.091588506653,[-0.1894398  -0.30155665],"[ 0.27000378  1.07531447 -1.34713094  2.63052811  0.5852389  -0.13681504
  0.46088659  2.68599909  0.33357526 -0.48264929  0.        ]",-0.514374,"[[ -1.21385757e+00   1.41894467e+00   6.85027651e-02  -1.75121112e-02]
 [ -2.13345312e+01   2.20852604e+01   0.00000000e+00   0.00000000e+00]]",[-1.91753769  0.70691121],[-1.63467838  1.71608282]
7,-0.0644986824195,[-0.1894398  -0.30155665],"[ -3.56806487e-01   4.06862151e-01  -1.43287802e+00   2.48808794e+00
   5.85237937e-01  -1.36814871e-01   3.57835123e-01   3.17447068e+00
  -2.47004822e-03  -5.19106010e-01   0.00000000e+00]",-0.503438,"[[ -1.67604819e+00   1.89597486e+00   6.85027651e-02  -1.75121112e-02]
 [ -2.48729039e+01   2.56058619e+01   0.00000000e+00   0.00000000e+00]]",[-1.85373926  0.62754309],[-0.76882492  0.80878513]
8,-0.0428070991233,[-0.1894398  -0.30155665],"[-1.02261079 -0.21959783 -1.15627159  1.44888231  0.58523697 -0.1368147
  0.28346186  3.54811638 -0.35967202 -0.34126597  0.        ]",-0.356074,"[[ -2.19912842e+00   2.43511383e+00   6.85027651e-02  -1.75121112e-02]
 [ -2.74265790e+01   2.82990874e+01   0.00000000e+00   0.00000000e+00]]",[-1.67124295  0.55577648],[-2.1758465   1.40692502]
9,-0.0564828509673,[-0.1894398  -0.30155665],"[-1.50288948 -0.55143549 -0.47456506 -0.4417679   0.58523601 -0.13681453
  0.18392219  3.22922202 -0.61860022  0.07597456  0.        ]",-0.287838,"[[ -2.78195178e+00   3.03518458e+00   6.85027651e-02  -1.75121112e-02]
 [ -3.08443713e+01   2.60011644e+01   0.00000000e+00   0.00000000e+00]]",[-1.52389169  0.4517962 ],[-2.07673289 -0.30510292]
