timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.26263363256,[-0.1742232  -0.32900137],"[ 1.17431805  2.31450031  0.05109591 -0.57905805  0.34938917 -1.67366029
  1.13755215 -0.38174007  1.03200255  1.77414493  0.        ]",-1.37282,"[[ 0.00121953  0.06581634  0.03868771 -0.19179118]
 [-0.00295269 -0.00303937  0.          0.        ]]",[-3.58017874  0.9727906 ],[-3.76865921  1.16634857]
1,-0.259576092031,[-0.1742232  -0.32900137],"[ 1.17329161  2.30961921 -0.00808017 -0.43948568  0.34938878 -1.67365397
  1.02760916  0.16860622  1.03145881  1.73887642  0.        ]",-1.4759,"[[-0.03854491  0.10549941  0.03868771 -0.19179118]
 [-3.9603119   3.9581382   0.          0.        ]]",[-3.61233711  0.80536842],[-2.66719788  1.00745858]
2,-0.250072189779,[-0.1742232  -0.32900137],"[ 1.15741686  2.28188253 -0.18297506 -0.028357    0.34938839 -1.67364764
  0.91984108  0.70804763  1.02298485  1.63483837  0.        ]",-1.3557,"[[-0.15667112  0.22361865  0.03868771 -0.19179118]
 [-7.83939935  7.84082943  0.          0.        ]]",[-3.56606793  0.74113226],[-3.48267843  1.19125347]
3,-0.23310845232,[-0.1742232  -0.32900137],"[ 1.08990833  2.1937797  -0.46338131  0.62383618  0.349388   -1.67364131
  0.81420188  1.23678408  0.98694208  1.46811133  0.        ]",-1.44818,"[[ -0.35161008   0.41861904   0.03868771  -0.19179118]
 [-11.64186902  11.64648346   0.           0.        ]]",[-3.47743726  0.73700428],[-2.13640411  0.58805604]
4,-0.206389355038,[-0.1742232  -0.32900137],"[ 0.91606453  2.00533209 -0.81783172  1.38825289  0.34938761 -1.67363499
  0.71065939  1.52837517  0.89490777  1.24150091  0.        ]",-1.19453,"[[ -0.62184074   0.67260748   0.03868771  -0.19179118]
 [-15.36887561  13.74527607   0.           0.        ]]",[-3.33403921  0.78032577],[-3.30828127  0.30989701]
5,-0.167982170055,[-0.1742232  -0.32900137],"[ 0.5792973   1.70958513 -1.17509676  2.07487957  0.34938722 -1.67362866
  0.60915631  1.66107439  0.71613183  0.97103675  0.        ]",-0.946147,"[[ -0.96587451   0.95709785   0.03868771  -0.19179118]
 [-19.02248     14.700438     0.           0.        ]]",[-3.17103457  0.83168197],[-4.15498607  0.62340808]
6,-0.121014657753,[-0.1742232  -0.32900137],"[ 0.05328832  1.30471481 -1.41286181  2.56362178  0.34938683 -1.67362233
  0.50962428  1.96347962  0.43050658  0.73189827  0.        ]",-0.819148,"[[ -1.38226824   1.27294764   0.03868771  -0.19179118]
 [-22.60514009  16.87710498   0.           0.        ]]",[-3.0914402   0.76776564],[-2.71002779  0.15922062]
7,-0.0783446395039,[-0.1742232  -0.32900137],"[-0.61138952  0.82290993 -1.37327057  2.71582833  0.34938644 -1.67361601
  0.41204265  2.00438111  0.05405446  0.61494265  0.        ]",-0.568867,"[[ -1.86961074   1.61344608   0.03868771  -0.19179118]
 [-26.11759821  17.1715713    0.           0.        ]]",[-2.91929364  0.71562856],[-3.01886928 -0.57264331]
8,-0.0759208979461,[-0.1742232  -0.32900137],"[-1.24688926  0.37918496 -0.92670173  2.49285069  0.34938605 -1.67360968
  0.31637944  1.64172539 -0.35634371  0.66398192  0.        ]",-0.542534,"[[ -2.42651035   1.93068961   0.03868771  -0.19179118]
 [-29.5610044   14.56134049   0.           0.        ]]",[-2.63812613  0.68709064],[-2.72884495 -0.53284696]
9,-0.119722075889,[-0.1742232  -0.32900137],"[-1.57924208  0.04293575 -0.08448325  2.04746964  0.34938566 -1.67360335
  0.22259849  1.30805703 -0.71399336  0.89415439  0.        ]",-0.874738,"[[ -3.05159925   2.197821     0.03868771  -0.19179118]
 [-32.9366592   12.15972887   0.           0.        ]]",[-2.3602469   0.62094021],[-2.24213931 -0.08801771]
