timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.0968148467022,[-0.20034972 -0.30283159],"[ 1.16504312  2.29811419  0.17413871 -0.73289625  1.27003354 -0.45342323
  1.10185865 -0.38048363  0.24436713  0.6429034   0.        ]",-0.665832,"[[ 0.08413454  0.02414996  0.14708126 -0.05413247]
 [ 0.00295906 -0.00141648  0.          0.        ]]",[-1.55697775  1.47790265],[-1.43903952  1.96853694]
1,-0.0939822796578,[-0.20034972 -0.30283159],"[ 1.16855402  2.2956054   0.11517462 -0.59331033  1.27002972 -0.4534226
  0.98841008  0.16958277  0.24623219  0.60818427  0.        ]",-0.525731,"[[ 0.04448718  0.06386519  0.14708126 -0.05413247]
 [-3.95451404  3.95973204  0.          0.        ]]",[-1.7506448   1.23725665],[-2.40956449  1.13527329]
2,-0.0853804123022,[-0.20034972 -0.30283159],"[ 1.16618917  2.27493305 -0.06058764 -0.18099886  1.27002589 -0.45342197
  0.87720604  0.70875093  0.24496313  0.50459019  0.        ]",-0.694249,"[[-0.07352413  0.18201608  0.14708126 -0.05413247]
 [-7.8337049   7.84240303  0.          0.        ]]",[-1.85161042  1.07237923],[-0.04484851  1.00795623]
3,-0.0757303923053,[-0.20034972 -0.30283159],"[ 1.13345383  2.19828849 -0.29151889  0.47745325  1.27002206 -0.45342134
  0.87651691  1.23702858  0.22361204  0.40483827  0.        ]",-0.513348,"[[ -0.23043887   0.37703362   0.14708126  -0.05413247]
 [ -7.85768217  11.6466641    0.           0.        ]]",[-1.96664894  0.92581272],[-2.18514694  1.12667959]
4,-0.0632622960413,[-0.20034972 -0.30283159],"[ 1.04678906  2.00983777 -0.56663043  1.3040558   1.27001824 -0.45342071
  0.76752053  1.75501224  0.16634993  0.31388274  0.        ]",-0.468403,"[[ -0.42574047   0.64739356   0.14708126  -0.05413247]
 [-11.65987193  15.37683185   0.           0.        ]]",[-2.00356531  0.8493222 ],[-2.054203    0.38996562]
5,-0.0405855465435,[-0.20034972 -0.30283159],"[ 0.84882371  1.68146553 -0.90704865  2.07908684  1.27001441 -0.45342008
  0.66068808  1.92723447  0.05116824  0.15933138  0.        ]",-0.479121,"[[ -0.69632774   0.96737557   0.14708126  -0.05413247]
 [-15.38658412  16.61711838   0.           0.        ]]",[-2.01875854  0.83830476],[-1.09151155  0.34796029]
6,-0.00992730157503,[-0.20034972 -0.30283159],"[ 0.48800938  1.23948282 -1.2369633   2.58164141  1.27001059 -0.45341945
  0.55594297  2.07283254 -0.14069299 -0.03679817  0.        ]",-0.333979,"[[ -1.04071833   1.31024026   0.14708126  -0.05413247]
 [-19.04048809  17.66569739   0.           0.        ]]",[-2.03150415  0.78835708],[-2.89991196  0.28733956]
7,-0.035748122758,[-0.20034972 -0.30283159],"[-0.05337127  0.72866595 -1.43192873  2.68256112  1.27000676 -0.45341882
  0.4532398   2.18207721 -0.41832077 -0.20403648  0.        ]",-0.446608,"[[ -1.45747231   1.67145014   0.14708126  -0.05413247]
 [-22.62316527  18.45250278   0.           0.        ]]",[-1.98485506  0.71276653],[-1.6048909   1.19823372]
8,-0.0785283563507,[-0.20034972 -0.30283159],"[-0.71373107  0.18094026 -1.338248    2.25991534  1.27000293 -0.45341819
  0.35253041  2.68087826 -0.75860143 -0.22749311  0.        ]",-0.539533,"[[ -1.9451828    2.0765431    0.14708126  -0.05413247]
 [-26.13629412  22.04470434   0.           0.        ]]",[-1.89052379  0.63128597],[-0.94342405  1.09339475]
9,-0.117359549681,[-0.20034972 -0.30283159],"[-1.31448792 -0.31422481 -0.8427918   1.13611062  1.26999911 -0.45341756
  0.26022682  3.16974664 -1.07276023 -0.0110132   0.        ]",-0.527606,"[[ -2.50021543   2.55276216   0.14708126  -0.05413247]
 [-29.35619678  25.56551145   0.           0.        ]]",[-1.79736376  0.55616903],[-2.08549861  0.62475194]
