timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.35749570578,[-0.02926746 -0.14075339],"[ 1.09034295  1.65306286  0.01593794 -0.41332344 -1.22070745 -0.89704534
  0.48185703 -0.2955883   2.11971218  0.79859136  0.        ]",-1.42239,"[[-0.03043296  0.07267538 -0.13183107 -0.1035328 ]
 [-0.0031412   0.00426968  0.          0.        ]]",[-1.14055872  0.68269944],[-1.67020565  0.27257939]
1,-0.355354939172,[-0.02926746 -0.14075339],"[ 1.08756583  1.65197302 -0.04456737 -0.38714465 -1.22069079 -0.89703647
  0.22553638 -0.14669459  2.11888505  0.74333123  0.        ]",-1.53212,"[[-0.07018991  0.08360433 -0.13183107 -0.1035328 ]
 [-3.95938094  1.08501715  0.          0.        ]]",[-1.12818778  0.68641412],[-0.4799104   0.09783714]
2,-0.34961048972,[-0.02926746 -0.14075339],"[ 1.07157543  1.64891897 -0.19196735 -0.32645466 -1.22067413 -0.8970276
  0.10760024 -0.09618682  2.10969078  0.60708596  0.        ]",-1.44868,"[[-0.16764116  0.10898301 -0.13183107 -0.1035328 ]
 [-5.77968364  1.45162483  0.          0.        ]]",[-1.08275843  0.71033907],[-1.34300193  2.29939675]
3,-0.340209954646,[-0.02926746 -0.14075339],"[ 1.01997836  1.63678723 -0.41965801 -0.16363086 -1.22065748 -0.89701873
 -0.14139192  0.445562    2.07758138  0.41885807  0.        ]",-1.41815,"[[-0.32179392  0.17746965 -0.13183107 -0.1035328 ]
 [-9.6228009   5.38391826  0.          0.        ]]",[-1.0264864   0.72789264],[-0.78377301  0.67041119]
4,-0.325535083272,[-0.02926746 -0.14075339],"[ 0.8917438   1.59692033 -0.72570642  0.14679103 -1.22064082 -0.89700985
 -0.33001179  0.79672387  2.00162444  0.18944213  0.        ]",-1.41938,"[[ -0.54345962   0.31072268  -0.13183107  -0.1035328 ]
 [-12.53409651   7.93285975   0.           0.        ]]",[-0.92747676  0.76544648],[-0.2276205   0.91101123]
5,-0.306644792402,[-0.02926746 -0.14075339],"[ 0.67091012  1.50225429 -1.03162016  0.57247245 -1.22062417 -0.89700098
 -0.37238763  1.27203352  1.87972804 -0.01855967  0.        ]",-1.17055,"[[ -0.80070399   0.5039965   -0.13183107  -0.1035328 ]
 [-13.18818166  11.38299505   0.           0.        ]]",[-0.82660425  0.79026973],[-1.27162027  0.37565472]
6,-0.281146383996,[-0.02926746 -0.14075339],"[ 0.33357443  1.32879039 -1.29686484  1.03987031 -1.22060751 -0.89699211
 -0.61186864  1.44598244  1.69819342 -0.2020948   0.        ]",-1.01607,"[[ -1.10155288   0.7443273   -0.13183107  -0.1035328 ]
 [-16.88450133  12.64577352   0.           0.        ]]",[-0.70492029  0.81446826],[-1.21258543 -0.23275805]
7,-0.243133864388,[-0.02926746 -0.14075339],"[-0.16021612  1.10214445 -1.45466022  1.41479418 -1.22059086 -0.89698324
 -0.84660399  1.28449464  1.41281251 -0.38534877  0.        ]",-0.958669,"[[ -1.47559337   0.9854849   -0.13183107  -0.1035328 ]
 [-20.50761382  11.47374967   0.           0.        ]]",[-0.5679667   0.83813798],[-0.29928323  1.22544866]
8,-0.196731045023,[-0.02926746 -0.14075339],"[-0.73020538  0.80578285 -1.38283727  1.69392402 -1.22057421 -0.89697437
 -0.89719364  1.79846146  1.06992698 -0.45741096  0.        ]",-0.744076,"[[ -1.8935806    1.25239434  -0.13183107  -0.1035328 ]
 [-21.28856832  15.20469414   0.           0.        ]]",[-0.54611814  0.77708328],[-0.09235273  1.89110173]
9,-0.152230616065,[-0.02926746 -0.14075339],"[-1.23204378  0.39056914 -1.05469431  1.81403688 -1.22055755 -0.8969655
 -0.89374008  2.30214595  0.78152681 -0.34646379  0.        ]",-0.663679,"[[ -2.31881864   1.59317652  -0.13183107  -0.1035328 ]
 [-21.23540099  18.86132267   0.           0.        ]]",[-0.58480078  0.66491616],[ 1.62560837  0.44773636]
10,-0.125002261558,[-0.02926746 -0.14075339],"[-1.54132566 -0.07926437 -0.58942125  1.61200628 -1.2205409  -0.89695663
 -0.61017857  2.49455232  0.6336751  -0.10339956  0.        ]",-0.290741,"[[ -2.69961868   1.98442106  -0.13183107  -0.1035328 ]
 [-16.85889803  20.25867597   0.           0.        ]]",[-0.6016646   0.59791887],[-0.79134949  0.13295564]
11,-0.121164624183,[-0.02926746 -0.14075339],"[-1.67007885 -0.48682484 -0.05437592  1.05106436 -1.22052425 -0.89694776
 -0.79159163  2.51158025  0.58979549  0.19534388  0.        ]",-0.436793,"[[ -3.06489001   2.39084245  -0.13183107  -0.1035328 ]
 [-19.6589812   20.38301174   0.           0.        ]]",[-0.61440939  0.57010925],[ 0.67078703 -0.14463905]
