timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.210312797517,[-0.17302716 -0.25235686],"[ 1.15484178  2.15894612  0.03090508 -1.07117734  0.70309291 -1.57720885
  0.97661804 -0.36656627  0.70145168  1.44961552  0.        ]",-0.842817,"[[-0.0169835  -0.09768513  0.07922046 -0.17957292]
 [-0.00402568 -0.00328816  0.          0.        ]]",[-2.82039976  0.87891382],[-3.73812517  1.23333164]
1,-0.20710220188,[-0.17302716 -0.25235686],"[ 1.15281373  2.16318434 -0.0285729  -0.94341843  0.70309125 -1.57720014
  0.85104671  0.18074669  0.70038123  1.41506312  0.        ]",-0.997948,"[[-0.05676919 -0.05800698  0.07922046 -0.17957292]
 [-3.9613603   3.95789769  0.          0.        ]]",[-2.83992338  0.79725647],[-2.16360821  1.75052101]
2,-0.197208863897,[-0.17302716 -0.25235686],"[ 1.13397806  2.16299379 -0.20404252 -0.56215185  0.70308958 -1.57719143
  0.72796051  0.71721915  0.69051761  1.31336991  0.        ]",-0.896972,"[[-0.17491588  0.06010778  0.07922046 -0.17957292]
 [-7.8403911   7.84062963  0.          0.        ]]",[-2.80143142  0.76372892],[-2.71406957  1.36276634]
3,-0.179770022799,[-0.17302716 -0.25235686],"[ 1.06171612  2.12080948 -0.48451528  0.05886059  0.70308792 -1.57718272
  0.60730771  1.24305288  0.65268633  1.15091277  0.        ]",-0.973262,"[[ -0.36987362   0.25510507   0.07922046  -0.17957292]
 [-11.64274428  11.6463846    0.           0.        ]]",[-2.71440268  0.75765055],[-1.39875516  1.7951634 ]
4,-0.153823704277,[-0.17302716 -0.25235686],"[ 0.88185129  1.97929642 -0.8372876   0.86393017  0.70308625 -1.57717401
  0.48903332  1.75842525  0.55851832  0.94662816  0.        ]",-0.645529,"[[ -0.64012596   0.52545877   0.07922046  -0.17957292]
 [-15.37014903  15.37647499   0.           0.        ]]",[-2.58432484  0.75573909],[-3.14591224  0.61110287]
5,-0.118279881988,[-0.17302716 -0.25235686],"[ 0.53899369  1.69187758 -1.18964918  1.6792768   0.70308459 -1.5771653
  0.37309571  2.05073249  0.37751194  0.7280096   0.        ]",-0.588051,"[[ -0.98418678   0.85421726   0.07922046  -0.17957292]
 [-19.0239144   17.49217824   0.           0.        ]]",[-2.40078115  0.76414728],[-2.20743836  1.34962556]
6,-0.0785588740664,[-0.17302716 -0.25235686],"[ 0.00889976  1.23333171 -1.41814119  2.29881908  0.70308293 -1.57715659
  0.25940373  2.54985573  0.09646079  0.56700414  0.        ]",-0.400525,"[[ -1.40061242   1.24030978   0.07922046  -0.17957292]
 [-22.60691074  21.10483261   0.           0.        ]]",[-2.23565817  0.70942611],[-1.54091176  0.15905108]
7,-0.0602664232216,[-0.17302716 -0.25235686],"[-0.65515932  0.6564232  -1.36511451  2.45939871  0.70308126 -1.57714788
  0.14794535  2.57885204 -0.2608226   0.53861275  0.        ]",-0.311011,"[[ -1.88799137   1.66451634   0.07922046  -0.17957292]
 [-26.11951636  21.31492312   0.           0.        ]]",[-2.05568147  0.67492831],[-1.50733124  0.71059588]
8,-0.0951254114212,[-0.17302716 -0.25235686],"[-1.28309877  0.07139732 -0.90363129  2.00734635  0.7030796  -1.57713917
  0.03864826  2.90886857 -0.61278756  0.70815903  0.        ]",-0.254276,"[[ -2.44494022   2.11478421   0.07922046  -0.17957292]
 [-29.56400899  23.70379568   0.           0.        ]]",[-1.95426917  0.61517715],[-3.18234266 -0.09179362]
9,-0.145854443084,[-0.17302716 -0.25235686],"[-1.60107015 -0.38273207 -0.0505391   0.96246208  0.70307793 -1.57713046
 -0.06848666  2.79337333 -0.8297368   1.06310022  0.        ]",-0.632673,"[[ -3.07009693   2.58047497   0.07922046  -0.17957292]
 [-32.94036108  22.86814899   0.           0.        ]]",[-2.00495458  0.52891648],[-2.55010929 -0.09781898]
