timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.164335485337,[-0.18590187 -0.28787628],"[ 1.15971026  2.24353271  0.15953486 -0.63676879  0.37980227  0.31998339
  1.04452585 -0.37573671  0.98412178 -0.13873362  0.        ]",-0.846165,"[[ 0.07204693  0.04777164  0.04530752  0.03540239]
 [-0.00396964 -0.00348974  0.          0.        ]]",[ 0.07543707  1.91400707],[ 0.57532524  0.7613966 ]
1,-0.162759177557,[-0.18590187 -0.28787628],"[ 1.15709266  2.24084719  0.1933745  -0.53396853  0.37980167  0.3199829
  1.1128441   0.0420496   0.97654723 -0.06853255  0.        ]",-0.732766,"[[ 0.09479154  0.0779423   0.04530752  0.03540239]
 [ 2.2708624   3.01051374  0.          0.        ]]",[-0.19310495  1.71071243],[-0.24455632  1.66519388]
2,-0.159064466929,[-0.18590187 -0.28787628],"[ 1.15163598  2.22304317  0.24566173 -0.19769057  0.37980108  0.31998242
  1.08239165  0.58270015  0.94798549  0.08790401  0.        ]",-0.549506,"[[ 0.13003655  0.17728634  0.04530752  0.03540239]
 [ 1.25702695  6.91088908  0.          0.        ]]",[-0.60557491  1.43050253],[-1.04606664  0.77844438]
3,-0.154608314927,[-0.18590187 -0.28787628],"[ 1.15413112  2.16212487  0.22371471  0.35507827  0.37980048  0.31998194
  0.96279915  0.99119844  0.90334906  0.21149146  0.        ]",-0.528231,"[[ 0.11522594  0.34507256  0.04530752  0.03540239]
 [-2.72483191  9.85789902  0.          0.        ]]",[-0.94361818  1.21589971],[-1.17622636 -0.18480572]
4,-0.150225410987,[-0.18590187 -0.28787628],"[ 1.16295248  2.04989694  0.0842771   0.93482104  0.37979989  0.31998145
  0.84561135  0.86290308  0.87125993  0.2090239   0.        ]",-0.425979,"[[ 0.02158179  0.53294466  0.04530752  0.03540239]
 [-6.62664215  8.93236486  0.          0.        ]]",[-0.94210327  1.2685895 ],[-2.61350199  1.87195509]
5,-0.144838864327,[-0.18590187 -0.28787628],"[ 1.14791699  1.86788737 -0.17009363  1.5262909   0.37979929  0.31998097
  0.73068223  1.38740057  0.84329136  0.09674762  0.        ]",-0.623691,"[[ -0.14934415   0.74955738   0.04530752   0.03540239]
 [-10.4532613   12.71623611   0.           0.        ]]",[-1.13928485  1.09857178],[-0.90464188  1.35171758]
6,-0.134935101849,[-0.18590187 -0.28787628],"[ 1.05850566  1.54883086 -0.51870525  2.14642144  0.3797987   0.31998049
  0.62934544  1.9014246   0.77315179 -0.06964474  0.        ]",-0.693064,"[[ -0.39226147   1.04109031   0.04530752   0.03540239]
 [-13.82732024  16.42460094   0.           0.        ]]",[-1.29349852  0.95450318],[-0.36047572  2.01360901]
7,-0.117473474948,[-0.18590187 -0.28787628],"[ 0.85613392  1.06856032 -0.88721634  2.56804947  0.3797981   0.31998
  0.59467036  2.40510848  0.62692813 -0.22852187  0.        ]",-0.55831,"[[ -0.68039125   1.40604257   0.04530752   0.03540239]
 [-14.98182023  20.05845733   0.           0.        ]]",[-1.47915506  0.73302567],[-1.01776438  1.22586972]
8,-0.0909078995696,[-0.18590187 -0.28787628],"[ 0.5096317   0.4594603  -1.21765495  2.48859726  0.37979751  0.31997952
  0.48465909  2.89879183  0.38704127 -0.35316543  0.        ]",-0.382054,"[[ -1.01677715   1.84295028   0.04530752   0.03540239]
 [-18.64471011  23.62029883   0.           0.        ]]",[-1.50869489  0.60842454],[-1.5220316   1.28790464]
9,-0.0584503896862,[-0.18590187 -0.28787628],"[-0.01659945 -0.15155374 -1.42529615  1.62828516  0.37979691  0.31997904
  0.3768042   3.38258054  0.04783477 -0.41415788  0.        ]",-0.0932961,"[[ -1.42570118   2.35037971   0.04530752   0.03540239]
 [-22.23580568  27.11093942   0.           0.        ]]",[-1.40748596  0.51823747],[-3.60704542 -0.09313977]
10,-0.042083701152,[-0.18590187 -0.28787628],"[-0.66941582 -0.5229317  -1.3580109   0.07157762  0.37979632  0.31997856
  0.27108193  3.25683801 -0.33237076 -0.34504021  0.        ]",-0.288808,"[[ -1.90573594   2.88349938   0.04530752   0.03540239]
 [-25.75589597  26.20414824   0.           0.        ]]",[-1.34448934  0.46569824],[-0.71429035 -0.07894941]
11,-0.0475366477125,[-0.18590187 -0.28787628],"[-1.27321273 -0.56952031 -0.90687708 -0.78059362  0.37979572  0.31997807
  0.20141822 -0.0893523  -0.48810207 -0.25651336  0.        ]",-0.288408,"[[ -2.44412845   3.13596145   0.04530752   0.03540239]
 [-28.07538971   2.06286999   0.           0.        ]]",[-1.33289063  0.62432188],[-0.51091253  1.458988  ]
12,-0.0507802584596,[-0.18590187 -0.28787628],"[-1.585183   -0.56908388 -0.12849099 -0.71274961  0.37979513  0.31997759
  0.15735033 -0.70999926 -0.46670656 -0.32809378  0.        ]",-0.0773255,"[[ -3.02035855   3.11608726   0.04530752   0.03540239]
 [-29.54265257  -2.41482671   0.           0.        ]]",[-1.23690832  0.83465821],[-2.65818228 -0.25906864]
