timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.215441231501,[-0.19478501 -0.3255257 ],"[ 1.17046979  2.3228298   0.14449461 -1.0363491   0.54699626  1.4538274
  1.13232896 -0.3827326   0.86409414 -1.41120365  0.        ]",-1.96366,"[[ 0.06514412 -0.05870078  0.06417153  0.16599976]
 [-0.00107478  0.00021303  0.          0.        ]]",[ 1.51790333  2.27101946],[ 2.69389911  2.04376694]
1,-0.205764309767,[-0.19478501 -0.3255257 ],"[ 1.16582564  2.32502905  0.20332473 -0.89456505  0.54699552  1.45382265
  1.24328755  0.16744948  0.85865597 -1.29930993  0.        ]",-1.36822,"[[ 0.10479791 -0.01898415  0.06417153  0.16599976]
 [ 3.95329119  3.95826419  0.          0.        ]]",[ 1.13890707  1.98259497],[-0.41461723  0.76656485]
2,-0.186018306978,[-0.19478501 -0.3255257 ],"[ 1.15429076  2.31947838  0.2945082  -0.50614014  0.54699477  1.4538179
  1.19503417  0.57856263  0.82899002 -1.08193525  0.        ]",-1.38332,"[[ 0.16661133  0.08985554  0.06417153  0.16599976]
 [ 2.23378587  6.91584488  0.          0.        ]]",[ 0.74550331  1.73823202],[ 0.78651429  1.8111726 ]
3,-0.156419505222,[-0.19478501 -0.3255257 ],"[ 1.13318184  2.27455332  0.40447407  0.11422314  0.54699402  1.45381315
  1.28105999  1.10975893  0.74174316 -0.79004176  0.        ]",-1.19942,"[[  0.24204704   0.26651454   0.06417153   0.16599976]
 [  5.29963032  10.7373217    0.           0.        ]]",[ 0.14479971  1.41167939],[ 1.14214539  0.88722506]
4,-0.10548317746,[-0.19478501 -0.3255257 ],"[ 1.07155619  2.1394166   0.60909752  0.93098689  0.54699328  1.4538084
  1.38910347  1.56831839  0.50427785 -0.37995409  0.        ]",-0.860914,"[[  0.38667146   0.51436045   0.06417153   0.16599976]
 [  9.15015064  14.03626786   0.           0.        ]]",[-0.569718    1.06939626],[ 1.09357637  0.60131011]
5,-0.0340558262694,[-0.19478501 -0.3255257 ],"[ 0.92656467  1.87286994  0.89761353  1.77612054  0.54699253  1.45380366
  1.49505606  1.86041499  0.04284989 -0.00930311  0.        ]",-0.673625,"[[  0.60755795   0.8161704    0.06417153   0.16599976]
 [ 12.92618964  16.1376948    0.           0.        ]]",[-1.28478348  0.70680285],[-0.04733422  1.17966511]
6,-0.0491858148882,[-0.19478501 -0.3255257 ],"[ 0.69229033  1.44219078  1.17763883  2.47040864  0.54699179  1.45379891
  1.48266979  2.36631948 -0.56492973  0.06359888  0.        ]",-0.624503,"[[  0.86165199   1.17544222   0.06417153   0.16599976]
 [ 12.4849539   19.77733592   0.           0.        ]]",[-1.74641669  0.45704874],[-1.63246854  0.2104106 ]
7,-0.115715291526,[-0.19478501 -0.3255257 ],"[ 0.45732431  0.88243194  1.3531942   2.74594751  0.54699104  1.45379416
  1.36478506  2.42774458 -1.03812122 -0.2369988   0.        ]",-0.647972,"[[  1.0692033    1.57542401   0.06417153   0.16599976]
 [  8.2840025   20.21936214   0.           0.        ]]",[-1.83836138  0.45976421],[-2.55339967  0.4693108 ]
8,-0.157905436256,[-0.19478501 -0.3255257 ],"[ 0.30220688  0.29869424  1.43191293  2.43012332  0.5469903   1.45378941
  1.24919707  2.63043216 -1.21798859 -0.69870352  0.        ]",-0.79734,"[[  1.19355691   1.99444334   0.06417153   0.16599976]
 [  4.16487064  21.6776869    0.           0.        ]]",[-1.92581224  0.45333371],[-1.46782301 -0.02834354]
9,-0.178824907806,[-0.19478501 -0.3255257 ],"[ 0.24691081 -0.19154991  1.45409716  1.52642142  0.54698955  1.45378466
  1.13585544  2.5551778  -1.14240984 -1.12106755  0.        ]",-0.873097,"[[  1.23633196   2.42256694   0.06417153   0.16599976]
 [  0.12576838  21.13643662   0.           0.        ]]",[-1.96371973  0.43456817],[-1.75522334 -0.10431259]
10,-0.185770663363,[-0.19478501 -0.3255257 ],"[ 0.29507883 -0.48094423  1.43492786  0.24488234  0.54698881  1.45377991
  1.02471115  2.43957241 -0.91973984 -1.40972815  0.        ]",-0.772241,"[[  1.19910946   2.83695262   0.06417153   0.16599976]
 [ -3.83504624  20.30487058   0.           0.        ]]",[-1.96997297  0.39857543],[-3.21996908 -0.27070122]
11,-0.187956747373,[-0.19478501 -0.3255257 ],"[ 0.44003725 -0.54699295  1.36323848 -0.78946091  0.54698806  1.45377516
  0.91572324  0.22742021 -0.71169556 -1.55493456  0.        ]",-1.09256,"[[ 1.08344216  3.13115492  0.06417153  0.16599976]
 [-7.71902903  4.39001447  0.          0.        ]]",[-1.58984482  0.47267666],[-1.71958994  0.37741956]
