timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.132705039647,[-0.10545296 -0.22187981],"[ 1.13156852  2.00286032  0.15953735 -0.62825686  0.64321288  0.24016853
  0.80904399 -0.35073313  0.73009774 -0.0836944   0.        ]",-0.419161,"[[ 0.06694582  0.03112189  0.07689637  0.02714545]
 [-0.0040763   0.00377759  0.          0.        ]]",[-0.32000557  1.47249222],[ 0.16201502  1.26401589]
1,-0.131755186802,[-0.10545296 -0.22187981],"[ 1.13094987  2.00014137  0.16904922 -0.51011283  0.64321053  0.24016788
  0.8336617   0.19752835  0.72540052 -0.03605408  0.        ]",-0.472936,"[[ 0.07328013  0.07092204  0.07689637  0.02714545]
 [ 0.63538468  3.96304223  0.          0.        ]]",[-0.47741419  1.36146736],[-0.29089914  2.91166922]
2,-0.129341296338,[-0.10545296 -0.22187981],"[ 1.13083944  1.97979158  0.17058116 -0.16191852  0.64320819  0.24016722
  0.78880935  0.7350309   0.7063944   0.07272796  0.        ]",-0.341629,"[[ 0.07430082  0.18912803  0.07689637  0.02714545]
 [-0.52942497  7.84461915  0.          0.        ]]",[-0.65693289  1.24249709],[-1.49322827  2.06105422]
3,-0.125469867484,[-0.10545296 -0.22187981],"[ 1.13423698  1.90669512  0.09512531  0.39339603  0.64320584  0.24016657
  0.63683946  1.26203053  0.67066494  0.15700235  0.        ]",-0.471177,"[[  0.02411228   0.38420509   0.07689637   0.02714545]
 [ -4.47628956  11.65038482   0.           0.        ]]",[-0.79863858  1.12860608],[-0.3072279   1.67626296]
4,-0.117693980411,[-0.10545296 -0.22187981],"[ 1.13057309  1.72911109 -0.05657223  1.0890783   0.6432035   0.24016591
  0.59340097  1.77842781  0.60577922  0.21024327  0.        ]",-0.480758,"[[ -0.07673257   0.65463007   0.07689637   0.02714545]
 [ -5.60440809  15.37966878   0.           0.        ]]",[-0.94677651  0.98670864],[-0.06732457  0.9012284 ]
5,-0.103063167422,[-0.10545296 -0.22187981],"[ 1.10970459  1.39904771 -0.22605839  1.77236495  0.64320115  0.24016526
  0.58738374  2.23037035  0.48167721  0.27675817  0.        ]",-0.398714,"[[ -0.19038901   0.99497185   0.07689637   0.02714545]
 [ -5.7606325   18.64362339   0.           0.        ]]",[-1.10597706  0.81468284],[-1.0475331   0.27470563]
6,-0.0810203917547,[-0.10545296 -0.22187981],"[ 1.05374622  0.93458899 -0.44910547  2.19490126  0.64319881  0.2401646
  0.4394174   2.32994172  0.31175536  0.27912392  0.        ]",-0.351022,"[[ -0.34415689   1.37506269   0.07689637   0.02714545]
 [ -9.60352399  19.36296511   0.           0.        ]]",[-1.10474372  0.71151209],[-1.62779008  0.57041849]
7,-0.0509031153218,[-0.10545296 -0.22187981],"[ 0.91356239  0.39949    -0.75864953  2.18611235  0.64319646  0.24016395
  0.29433018  2.58957317  0.1147703   0.17729753  0.        ]",-0.297949,"[[ -0.57403242   1.78113912   0.07689637   0.02714545]
 [-13.37164591  21.2383078    0.           0.        ]]",[-1.05283403  0.63754576],[-1.00819242  0.12989811]
8,-0.0136063117751,[-0.10545296 -0.22187981],"[ 0.63575108 -0.1116489  -1.10004569  1.67035984  0.64319412  0.24016329
  0.15208127  2.60243582 -0.11994721  0.02007131  0.        ]",-0.188753,"[[ -0.87853071   2.20684203   0.07689637   0.02714545]
 [-17.06605487  21.33157564   0.           0.        ]]",[-0.97062737  0.59733742],[-1.00072533  0.3068787 ]
9,-0.0292877861664,[-0.10545296 -0.22187981],"[ 0.18222677 -0.48778725 -1.37269605  0.70471104  0.64319178  0.24016264
  0.01261897  2.7120206  -0.39851869 -0.12102583  0.        ]",-0.20317,"[[ -1.2561923    2.6414184    0.07689637   0.02714545]
 [-20.68809148  22.12340546   0.           0.        ]]",[-0.89526403  0.56541651],[-0.00147642  0.42319547]
10,-0.0731901598323,[-0.10545296 -0.22187981],"[-0.37551548 -0.64896674 -1.43976856 -0.58619437  0.64318943  0.24016198
  0.02813817  2.27519992 -0.7223854  -0.15171913  0.        ]",-0.254002,"[[ -1.66590957   3.09629842   0.07689637   0.02714545]
 [-20.28503472  18.96894987   0.           0.        ]]",[-0.8886134   0.56314278],[-0.09566552 -0.82325468]
