timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.226739462221,[-0.17041443 -0.31544644],"[ 1.16912467  2.31985428  0.19275014 -0.47830463  0.77037982 -1.40764999
  1.14860515 -0.38236349  0.66210691  1.71068424  0.        ]",-1.42221,"[[ 0.09687313  0.09492268  0.08712675 -0.1614991 ]
 [ 0.0026874  -0.00090687  0.          0.        ]]",[-3.22082734  1.01963806],[-2.38417248  1.80944651]
1,-0.22357103842,[-0.17041443 -0.31544644],"[ 1.17333246  2.31330386  0.1339261  -0.33823078  0.77037864 -1.40764595
  1.03940731  0.16818702  0.66434537  1.67574912  0.        ]",-1.17407,"[[ 0.05722034  0.13464795  0.08712675 -0.1614991 ]
 [-3.95478633  3.96022554  0.          0.        ]]",[-3.33191919  0.79515553],[-4.40327535 -0.55838779]
2,-0.208864397332,[-0.17041443 -0.31544644],"[ 1.17304082  2.30019575 -0.0415437  -0.14123113  0.77037746 -1.40764191
  0.93243543 -0.14980765  0.67221867  1.51196107  0.        ]",-1.43841,"[[-0.06077254  0.1908971   0.08712675 -0.1614991 ]
 [-7.83160179  1.672301    0.          0.        ]]",[-3.07805252  1.08661902],[-1.33719762  1.4742236 ]
3,-0.181968084206,[-0.17041443 -0.31544644],"[ 1.13077875  2.27659788 -0.3273102   0.11067159  0.77037628 -1.40763787
  0.82751238  0.39611645  0.65645982  1.22340986  0.        ]",-1.19833,"[[ -0.2555568    0.26375267   0.08712675  -0.1614991 ]
 [-11.63417481   5.60014165   0.           0.        ]]",[-2.98553014  1.01115704],[-2.21838584  1.64100446]
4,-0.147096573775,[-0.17041443 -0.31544644],"[ 0.98933877  2.20467549 -0.69779167  0.61443725  0.77037509 -1.40763383
  0.72466073  0.93120019  0.57584678  0.88673996  0.        ]",-0.970646,"[[ -0.5256391    0.41438287   0.08712675  -0.1614991 ]
 [-15.36168555   9.44999342   0.           0.        ]]",[-2.79008412  1.02621317],[-2.82486771  1.4285159 ]
5,-0.103783768508,[-0.17041443 -0.31544644],"[ 0.68606628  2.04087054 -1.08803478  1.30862396  0.77037391 -1.4076298
  0.62383281  1.45562181  0.39765589  0.54213817  0.        ]",-0.736176,"[[ -0.86953528   0.64124115   0.08712675  -0.1614991 ]
 [-19.01585871  13.22315188   0.           0.        ]]",[-2.56528926  1.06396461],[-2.60860357  0.14802313]
6,-0.0500056185624,[-0.17041443 -0.31544644],"[ 0.18386433  1.77251672 -1.37912541  1.98543943  0.77037273 -1.40762576
  0.52501144  1.50067186  0.09326018  0.23087681  0.        ]",-0.514642,"[[ -1.28578478   0.90895826   0.08712675  -0.1614991 ]
 [-22.59731518  13.54731368   0.           0.        ]]",[-2.36524725  1.21109664],[-2.67754698  0.42689235]
7,-0.0154909605129,[-0.17041443 -0.31544644],"[-0.48106454  1.41798256 -1.40884383  2.48607831  0.77037155 -1.40762172
  0.42810866  1.69814727 -0.337507    0.0387359   0.        ]",-0.487263,"[[ -1.7729655    1.19416244   0.08712675  -0.1614991 ]
 [-26.1092415   14.96816554   0.           0.        ]]",[-2.31155515  1.13785553],[-1.59521544  1.76219987]
8,-0.0798949748445,[-0.17041443 -0.31544644],"[-1.15340287  0.94781697 -1.03082471  2.73194039  0.77037037 -1.40761768
  0.33307515  2.20693112 -0.81062127  0.09815247  0.        ]",-0.430637,"[[ -2.32970479   1.53025715   0.08712675  -0.1614991 ]
 [-29.55342409  18.62888603   0.           0.        ]]",[-2.36153889  0.81315136],[-2.56421269  0.37669689]
9,-0.138353944635,[-0.17041443 -0.31544644],"[-1.5596254   0.40606437 -0.22770816  2.52775405  0.77036919 -1.40761365
  0.23990372  2.36245177 -1.18312386  0.43420479  0.        ]",-0.579203,"[[ -2.9546512    1.91406436   0.08712675  -0.1614991 ]
 [-32.93012234  19.74794787   0.           0.        ]]",[-2.20514226  0.61643732],[-4.24708912  0.61092834]
10,-0.179754407204,[-0.17041443 -0.31544644],"[-1.41152833 -0.09861804  0.76857933  1.76169666  0.77036801 -1.40760961
  0.14855859  2.64372308 -1.31067499  0.92461965  0.        ]",-1.17648,"[[ -3.64646886   2.32932944   0.08712675  -0.1614991 ]
 [-36.24063266  21.77181942   0.           0.        ]]",[-2.20912838  0.46052575],[-1.75566137 -0.03536464]
11,-0.193429463377,[-0.17041443 -0.31544644],"[-0.62299819 -0.44318693  1.4665535   0.5104054   0.77036683 -1.40760557
  0.05903718  2.56385415 -1.15269994  1.31156253  0.        ]",-1.21627,"[[ -4.40383568   2.75899906   0.08712675  -0.1614991 ]
 [-39.48504813  21.19729971   0.           0.        ]]",[-2.60140586  0.33746296],[-3.42949023  0.16019624]
12,-0.185582529247,[-0.17041443 -0.31544644],"[ 0.47313105 -0.54689455  1.34524924 -0.76138019  0.77036565 -1.40760153
 -0.0286833   0.70027518 -0.95574751  1.39956132  0.        ]",-1.17822,"[[ -5.22543386   3.12655626   0.08712675  -0.1614991 ]
 [-42.66419466   7.78885077   0.           0.        ]]",[-2.71273637  0.35273391],[-2.46957315  0.51183589]
13,-0.185461810534,[-0.17041443 -0.31544644],"[ 1.15494522 -0.54699766  0.30528256 -0.84681319  0.77036446 -1.4075975
 -0.11463832 -0.69769157 -0.93928043  1.41056598  0.        ]",-1.034,"[[ -6.10997462   3.15062581   0.08712675  -0.1614991 ]
 [-45.77935767  -2.26952645   0.           0.        ]]",[-2.62912416  0.48735073],[-3.53492403  1.30610217]
14,-0.194438951014,[-0.17041443 -0.31544644],"[ 0.78351619 -0.54550379 -0.99021498 -0.64981235  0.77036328 -1.40759346
 -0.19887891 -0.75614987 -0.89509964  1.5321275   0.        ]",-1.19429,"[[ -7.0561942    3.0951095    0.08712675  -0.1614991 ]
 [-48.83238726  -2.6901419    0.           0.        ]]",[-2.6204474   0.55881393],[-3.03934797  1.08924781]
15,-0.184880489698,[-0.17041443 -0.31544644],"[-0.49012896 -0.54119372 -1.40680394 -0.49444155  0.7703621  -1.40758942
 -0.28144871 -0.61485843 -0.78247409  1.50382103  0.        ]",-1.09369,"[[ -8.06286649   3.05123197   0.08712675  -0.1614991 ]
 [-51.82486543  -1.67355682   0.           0.        ]]",[-2.48912954  0.59466195],[-3.71851843 -0.10235476]
16,-0.168097263865,[-0.17041443 -0.31544644],"[-1.52366687 -0.53537823 -0.38517848 -0.36312112  0.77036092 -1.40758538
 -0.3623847  -0.66678469 -0.77428871  1.3442324   0.        ]",-1.06461,"[[ -9.12879432   3.01401323   0.08712675  -0.1614991 ]
 [-54.75813231  -2.04717238   0.           0.        ]]",[-2.32669044  0.62202793],[-3.64253831  0.66452434]
17,-0.171542808266,[-0.17041443 -0.31544644],"[-1.13711499 -0.53226127  1.14488518 -0.30668883  0.77035974 -1.40758135
 -0.44171599 -0.32008392 -0.90947407  1.28750808  0.        ]",-1.38771,"[[-10.25280365   2.99796761   0.08712675  -0.1614991 ]
 [-57.6332443    0.44733195   0.           0.        ]]",[-2.36544466  0.51952928],[-0.76852178  0.56032934]
18,-0.190594098396,[-0.17041443 -0.31544644],"[ 0.36980978 -0.5338482   1.40199709 -0.33459263  0.77035856 -1.40757731
 -0.49419401 -0.36139505 -0.99574112  1.42144324  0.        ]",-1.26656,"[[-11.42455095   3.00590614   0.08712675  -0.1614991 ]
 [-59.53515178   0.15009641   0.           0.        ]]",[-2.57881355  0.47030789],[-2.49449207  0.70538233]
19,-0.200847579321,[-0.17041443 -0.31544644],"[ 1.17152595 -0.53390217 -0.06530586 -0.33558193  0.77035738 -1.40757327
 -0.57092055 -0.39008681 -0.92641137  1.57639268  0.        ]",-1.33133,"[[ -1.26431539e+01   3.00618753e+00   8.71267527e-02  -1.61499099e-01]
 [ -6.23158671e+01  -5.63430907e-02   0.00000000e+00   0.00000000e+00]]",[-2.61766505  0.48088521],[-2.28946895  1.14527201]
20,-0.188843637609,[-0.17041443 -0.31544644],"[ 0.09750952 -0.53370805 -1.40317195 -0.3320862   0.7703562  -1.40756923
 -0.64612766 -0.38784667 -0.77546093  1.54580421  0.        ]",-1.28126,"[[ -1.39168186e+01   3.00519364e+00   8.71267527e-02  -1.61499099e-01]
 [ -6.50415197e+01  -4.02284337e-02   0.00000000e+00   0.00000000e+00]]",[-2.51407242  0.54895681],[-1.42642161  0.29661974]
21,-0.168342319275,[-0.17041443 -0.31544644],"[-1.4380923  -0.53344075 -0.61642451 -0.32730987  0.77035502 -1.4075652
 -0.7198458  -0.39247618 -0.75972968  1.35508832  0.        ]",-1.23366,"[[-15.24445494   3.00383541   0.08712675  -0.1614991 ]
 [-67.71321439  -0.07354071   0.           0.        ]]",[-2.28031325  0.57115072],[-1.34054489  1.03817912]
22,-0.172796228285,[-0.17041443 -0.31544644],"[-1.04308961 -0.533342    1.22999913 -0.32556452  0.77035384 -1.40756116
 -0.79210437 -0.38186053 -0.91728217  1.29464948  0.        ]",-1.2577,"[[ -1.66249945e+01   3.00333908e+00   8.71267527e-02  -1.61499099e-01]
 [ -7.03320175e+01   2.83537576e-03   0.00000000e+00   0.00000000e+00]]",[-2.33842206  0.513044  ],[-2.3937182   0.81161838]
23,-0.195805126038,[-0.17041443 -0.31544644],"[ 0.76488676 -0.53334039  1.1080956  -0.32554741  0.77035265 -1.40755712
 -0.86293241 -0.38249915 -0.99462252  1.47710432  0.        ]",-1.26833,"[[ -1.80573901e+01   3.00333431e+00   8.71267527e-02  -1.61499099e-01]
 [ -7.28989830e+01  -1.76250619e-03   0.00000000e+00   0.00000000e+00]]",[-2.55586481  0.45845935],[-2.00461197  0.02728302]
24,-0.197806836224,[-0.17041443 -0.31544644],"[ 0.85906721 -0.53316712 -0.89953825 -0.32249181  0.77035147 -1.40755308
 -0.93235803 -0.39047657 -0.84774944  1.59376511  0.        ]",-1.0868,"[[ -1.95406151e+01   3.00246524e+00   8.71267527e-02  -1.61499099e-01]
 [ -7.54151301e+01  -5.91627331e-02   0.00000000e+00   0.00000000e+00]]",[-2.5545752   0.50640297],[-3.48027359 -0.0997288 ]
25,-0.173324142628,[-0.17041443 -0.31544644],"[-1.04259393 -0.53211743 -1.13273599 -0.30432428  0.77035029 -1.40754905
 -1.00040882 -0.4457095  -0.73627567  1.41637371  0.        ]",-1.12942,"[[-21.07366323   2.99729533   0.08712675  -0.1614991 ]
 [-77.88146019  -0.45656385   0.           0.        ]]",[-2.30223346  0.57516283],[-2.66078783  1.58821657]
26,-0.169404310521,[-0.17041443 -0.31544644],"[-1.2901901  -0.53377774  0.96630758 -0.33341166  0.77034911 -1.40754501
 -1.06711199 -0.27523469 -0.88930827  1.28038707  0.        ]",-1.19394,"[[-22.65554765   3.00557112   0.08712675  -0.1614991 ]
 [-80.29896053   0.76998867   0.           0.        ]]",[-2.24901605  0.50240695],[-3.21725804  1.75771089]
27,-0.194264235346,[-0.17041443 -0.31544644],"[ 0.70915218 -0.53477567  1.16420851 -0.35179542  0.77034793 -1.40754097
 -1.13249634 -0.38610223 -0.99202068  1.46291884  0.        ]",-1.17209,"[[ -2.42853032e+01   3.01079674e+00   8.71267527e-02  -1.61499099e-01]
 [ -8.26686755e+01  -2.76980282e-02   0.00000000e+00   0.00000000e+00]]",[-2.51322627  0.45015472],[-2.91772072  0.54111939]
28,-0.196188196554,[-0.17041443 -0.31544644],"[ 0.72781803 -0.53430341 -1.04843253 -0.34302186  0.77034675 -1.40753694
 -1.19658414 -0.40425335 -0.83415064  1.58554815  0.        ]",-1.21105,"[[-25.96198155   3.00830345   0.08712675  -0.1614991 ]
 [-84.99141342  -0.15829717   0.           0.        ]]",[-2.49862862  0.50691015],[-1.90108832 -0.10147919]
29,-0.169328691191,[-0.17041443 -0.31544644],"[-1.35066057 -0.53288915 -0.77862561 -0.31766787  0.77034557 -1.4075329
 -1.25940242 -0.46028521 -0.75078108  1.36974378  0.        ]",-1.17526,"[[ -2.76846532e+01   3.00109336e+00   8.71267527e-02  -1.61499099e-01]
 [ -8.72681556e+01  -5.61445439e-01   0.00000000e+00   0.00000000e+00]]",[-2.21860003  0.56826925],[-1.84895368  1.6687261 ]
30,-0.176716578923,[-0.17041443 -0.31544644],"[-0.73201815 -0.53406555  1.42353925 -0.33868278  0.77034439 -1.40752886
 -1.32097717 -0.35388787 -0.94335614  1.31564101  0.        ]",-1.06635,"[[ -2.94524070e+01   3.00707020e+00   8.71267527e-02  -1.61499099e-01]
 [ -8.94998441e+01   2.04070896e-01   0.00000000e+00   0.00000000e+00]]",[-2.32141948  0.4808113 ],[-3.43576419  0.132341  ]
31,-0.200462239353,[-0.17041443 -0.31544644],"[ 1.15977786 -0.53401858  0.27351178 -0.33783783  0.77034321 -1.40752483
 -1.38133287 -0.39887778 -0.95074143  1.55638733  0.        ]",-1.25178,"[[ -3.12643521e+01   3.00683009e+00   8.71267527e-02  -1.61499099e-01]
 [ -9.16873678e+01  -1.19630261e-01   0.00000000e+00   0.00000000e+00]]",[-2.49312758  0.45029598],[-1.91588447 -0.01407067]
32,-0.182717321694,[-0.17041443 -0.31544644],"[-0.38682849 -0.53342152 -1.42602869 -0.32709267  0.77034203 -1.40752079
 -1.44049248 -0.40753373 -0.74938215  1.50009896  0.        ]",-1.12088,"[[ -3.31196129e+01   3.00377474e+00   8.71267527e-02  -1.61499099e-01]
 [ -9.38315593e+01  -1.81912185e-01   0.00000000e+00   0.00000000e+00]]",[-2.33316612  0.54281414],[-2.32069151  0.50606936]
33,-0.167525301893,[-0.17041443 -0.31544644],"[-1.44035756 -0.53306348  0.70917316 -0.32076777  0.77034084 -1.40751675
 -1.49848029 -0.38676145 -0.85973655  1.28256501  0.        ]",-1.27631,"[[ -3.50173315e+01   3.00197571e+00   8.71267527e-02  -1.61499099e-01]
 [ -9.59333005e+01  -3.24610229e-02   0.00000000e+00   0.00000000e+00]]",[-2.16166687  0.51621914],[-1.2947501   1.40863125]
34,-0.196517458784,[-0.17041443 -0.31544644],"[ 0.81250564 -0.53312217  1.05484634 -0.32181201  0.77033966 -1.40751272
 -1.55531997 -0.37711768 -0.99339247  1.48541385  0.        ]",-1.08196,"[[ -3.69566676e+01   3.00227287e+00   8.71267527e-02  -1.61499099e-01]
 [ -9.79934500e+01   3.69218379e-02   0.00000000e+00   0.00000000e+00]]",[-2.46171403  0.43951693],[-3.29388791  0.14416458]
35,-0.190575324758,[-0.17041443 -0.31544644],"[ 0.24708779 -0.53308541 -1.35735349 -0.32117608  0.77033848 -1.40750868
 -1.61103388 -0.38657665 -0.78357375  1.55823087  0.        ]",-0.974615,"[[ -3.89367976e+01   3.00209206e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.00012819e+02  -3.11374133e-02   0.00000000e+00   0.00000000e+00]]",[-2.38599348  0.51597261],[-3.31308239 -0.51678217]
36,-0.164189996542,[-0.17041443 -0.31544644],"[-1.57434474 -0.52852779  0.2213642  -0.24673242  0.7703373  -1.40750464
 -1.66564267 -0.67180373 -0.82079381  1.27553864  0.        ]",-1.11291,"[[ -4.09569138e+01   2.98088111e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.01992157e+02  -2.08331674e+00   0.00000000e+00   0.00000000e+00]]",[-2.109653    0.59553558],[-1.6723803   0.54901201]
37,-0.19800960158,[-0.17041443 -0.31544644],"[ 0.58033465 -0.5237696   1.2729402  -0.17844776  0.77033612 -1.40750061
 -1.71916439 -0.36504863 -1.02275814  1.47859573  0.        ]",-1.13877,"[[ -4.30162207e+01   2.96136092e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.03932118e+02   1.23743174e-01   0.00000000e+00   0.00000000e+00]]",[-2.42806244  0.45020568],[-2.23491356 -1.13834798]
38,-0.191106352512,[-0.17041443 -0.31544644],"[ 0.38254858 -0.51316144 -1.29795871 -0.04843305  0.77033494 -1.40749657
 -1.77162749 -0.91700115 -0.73330789  1.58796357  0.        ]",-1.1216,"[[ -4.51139440e+01   2.92399458e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.05833736e+02  -3.84749130e+00   0.00000000e+00   0.00000000e+00]]",[-2.419873    0.61934185],[-2.61401828  1.04247293]
39,-0.157606119675,[-0.17041443 -0.31544644],"[-1.57281121 -0.50088156  0.23497711  0.07778982  0.77033376 -1.40749253
 -1.8230406  -0.35773874 -0.84682571  1.18895909  0.        ]",-0.895581,"[[ -4.72493152e+01   2.88742062e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.07697323e+02   1.76321735e-01   0.00000000e+00   0.00000000e+00]]",[-2.02760696  0.57641917],[-2.47124797 -0.3084984 ]
40,-0.208839253216,[-0.17041443 -0.31544644],"[ 0.7128228  -0.49761311  1.16070252  0.10831028  0.77033258 -1.4074885
 -1.87344866 -0.52981397 -1.05676224  1.56638657  0.        ]",-1.38492,"[[ -4.94215950e+01   2.87852666e+00   8.71267527e-02  -1.61499099e-01]
 [ -1.09524509e+02  -1.06173944e+00   0.00000000e+00   0.00000000e+00]]",[-2.42597842  0.49116462],[-2.42491835  1.46513936]
