timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.316243446779,[-0.18070313 -0.26136664],"[ 1.15179548  2.17328019 -0.06721452 -0.92963594 -0.66868715 -1.36847839
  0.98699118 -0.36730583  1.83873096  1.16765424  0.        ]",-1.52059,"[[-0.08280587 -0.05235678 -0.07829143 -0.15603055]
 [-0.00176428 -0.00110019  0.          0.        ]]",[-2.91794848  1.18920934],[-2.51159833  0.81464648]
1,-0.313800242163,[-0.18070313 -0.26136664],"[ 1.14617253  2.17487977 -0.12633214 -0.82459506 -0.66868565 -1.36847233
  0.86278771  0.07871833  1.83496569  1.1263465   0.        ]",-1.54198,"[[-0.12254389 -0.01999898 -0.07829143 -0.15603055]
 [-3.95885802  3.22612017  0.          0.        ]]",[-2.97984219  1.07740021],[-2.20282453  0.9853667 ]
2,-0.306419651657,[-0.18070313 -0.26136664],"[ 1.11676077  2.17037054 -0.29996002 -0.49017952 -0.66868416 -1.36846626
  0.74103373  0.60933209  1.81776371  1.01127107  0.        ]",-1.46763,"[[-0.2406409   0.0830442  -0.07829143 -0.15603055]
 [-7.83792608  7.06539332  0.          0.        ]]",[-2.97724366  1.00456679],[-2.57288265  1.21988326]
3,-0.293111757193,[-0.18070313 -0.26136664],"[ 1.02770479  2.12766888 -0.57453951  0.08392012 -0.66868267 -1.3684602
  0.62168602  1.13743134  1.76911901  0.8374017   0.        ]",-1.55597,"[[ -0.43554997   0.26269068  -0.07829143  -0.15603055]
 [-11.6403411   10.88648878   0.           0.        ]]",[-2.91744971  0.97562134],[-0.92731422 -0.31829129]
4,-0.269601073822,[-0.18070313 -0.26136664],"[ 0.82953657  2.02785308 -0.91029326  0.69884929 -0.66868118 -1.36845414
  0.51377899  0.93359582  1.65491369  0.58219659  0.        ]",-1.41586,"[[ -0.70284982   0.46562358  -0.07829143  -0.15603055]
 [-15.07825924   9.41165405   0.           0.        ]]",[-2.65569305  1.15188813],[-1.40337221  1.25426309]
5,-0.234375268544,[-0.18070313 -0.26136664],"[ 0.47391481  1.85716756 -1.23422529  1.31242422 -0.66867968 -1.36844808
  0.39890688  1.45516446  1.44288738  0.29145755  0.        ]",-1.13762,"[[ -1.04113424   0.69172218  -0.07829143  -0.15603055]
 [-18.73809219  13.18551975   0.           0.        ]]",[-2.44755912  1.13807571],[-2.22223039  0.23866582]
6,-0.187301342112,[-0.18070313 -0.26136664],"[-0.05947422  1.58258859 -1.42859658  1.90570891 -0.66867819 -1.36844202
  0.28631578  1.54965642  1.1181926   0.05632855  0.        ]",-1.03061,"[[ -1.45188563   0.96229459  -0.07829143  -0.15603055]
 [-22.32525405  13.86927724   0.           0.        ]]",[-2.17931485  1.18505216],[-0.8639063   1.09333458]
7,-0.130832606113,[-0.18070313 -0.26136664],"[-0.70591352  1.19294008 -1.34459478  2.3492317  -0.6686767  -1.36843596
  0.19279484  2.05873673  0.71012451 -0.02508021  0.        ]",-0.521571,"[[ -1.92828408   1.27664063  -0.07829143  -0.15603055]
 [-25.3048377   17.55286752   0.           0.        ]]",[-2.17832375  0.96162796],[-3.03464017  2.24865646]
8,-0.0776458873342,[-0.18070313 -0.26136664],"[-1.30239901  0.66330495 -0.87519511  2.47465851 -0.66867521 -1.36842989
  0.084186    2.55757677  0.31656527  0.13817231  0.        ]",-0.451377,"[[ -2.46909697   1.66391643  -0.07829143  -0.15603055]
 [-28.76512514  21.16247674   0.           0.        ]]",[-2.16215324  0.73077101],[-1.44858014  1.27433482]
9,-0.0731115281072,[-0.18070313 -0.26136664],"[-1.60003282  0.06676859 -0.03787903  2.00649692 -0.66867372 -1.36842383
 -0.02230333  3.04638468  0.06846586  0.53294361  0.        ]",-0.497891,"[[ -3.07843909   2.12265669  -0.07829143  -0.15603055]
 [-32.15788476  24.69966226   0.           0.        ]]",[-2.12944794  0.63730145],[-1.24498377 -0.12931291]
10,-0.12066493301,[-0.18070313 -0.26136664],"[-1.3512847  -0.39795122  0.9174576   0.89655663 -0.66867222 -1.36841777
 -0.12667804  2.90753417  0.06600033  0.99672341  0.        ]",-0.653349,"[[ -3.75496244   2.60657135  -0.07829143  -0.15603055]
 [-35.48327254  23.69528435   0.           0.        ]]",[-2.28377151  0.54141623],[-3.65908468  1.11121021]
11,-0.165067260825,[-0.18070313 -0.26136664],"[-0.5175621  -0.59076398  1.51771472 -0.6748259  -0.66867073 -1.36841171
 -0.22894914  2.65921066  0.32607938  1.27838026  0.        ]",-0.768967,"[[ -4.49732147   3.11547642  -0.07829143  -0.15603055]
 [-38.74164002  21.89870176   0.           0.        ]]",[-2.52891684  0.4696964 ],[-1.73244761 -0.59578427]
12,-0.164163702891,[-0.18070313 -0.26136664],"[ 0.54652867 -0.58388516  1.29780371 -1.09406507 -0.66866924 -1.36840565
 -0.32917985 -0.66102504  0.3686645   1.24063288  0.        ]",-0.621992,"[[ -5.30419725   3.24472474  -0.07829143  -0.15603055]
 [-41.93500187  -2.1261334    0.           0.        ]]",[-2.59245396  0.53907299],[-1.84436631 -0.39682501]
13,-0.167434768133,[-0.18070313 -0.26136664],"[ 1.14834933 -0.59095573  0.21904322 -0.82471035 -0.66866775 -1.36839959
 -0.42740197 -1.07936973  0.261087    1.33957269  0.        ]",-0.599207,"[[ -6.17429582   3.16162397  -0.07829143  -0.15603055]
 [-45.0643728   -5.15324853   0.           0.        ]]",[-2.63426471  0.58583564],[-2.32178104  0.97902826]
14,-0.184276796139,[-0.18070313 -0.26136664],"[ 0.71489145 -0.58877947 -1.04027331 -0.56628809 -0.66866625 -1.36839353
 -0.5236679  -0.76763692  0.31757537  1.46942357  0.        ]",-0.607364,"[[ -7.10635614   3.0820333   -0.07829143  -0.15603055]
 [-48.13142383  -2.89760258   0.           0.        ]]",[-2.63716745  0.63386142],[-3.55587524  0.24120728]
15,-0.186523601848,[-0.18070313 -0.26136664],"[-0.55799914 -0.58326676 -1.39442781 -0.41155963 -0.66866476 -1.36838747
 -0.61802786 -0.62785981  0.43005631  1.42231717  0.        ]",-0.863627,"[[ -8.09914817   3.03422998  -0.07829143  -0.15603055]
 [-51.13775666  -1.8862033    0.           0.        ]]",[-2.48790765  0.67765117],[-2.37493257  0.08873387]
16,-0.169969051941,[-0.18070313 -0.26136664],"[-1.55157031 -0.57746369 -0.347196   -0.3024885  -0.66866327 -1.3683814
 -0.71051998 -0.57436622  0.42315367  1.25962087  0.        ]",-0.838272,"[[ -9.15146984   3.00039041  -0.07829143  -0.15603055]
 [-54.08458823  -1.49913952   0.           0.        ]]",[-2.29527283  0.67978764],[-2.8713348   0.04894193]
17,-0.154276882248,[-0.18070313 -0.26136664],"[-1.14669306 -0.5715315   1.16760893 -0.21339267 -0.66866178 -1.36837534
 -0.80118058 -0.54378513  0.27250107  1.20622884  0.        ]",-0.818935,"[[-10.26214278   2.97262869  -0.07829143  -0.15603055]
 [-56.97307782  -1.27786699   0.           0.        ]]",[-2.29177046  0.59568471],[-2.99207093  1.21149307]
18,-0.166205377152,[-0.18070313 -0.26136664],"[ 0.35757057 -0.57473786  1.4132286  -0.25955257 -0.66866029 -1.36836928
 -0.89004606  0.00657071  0.19356502  1.36167848  0.        ]",-0.699886,"[[-11.43001123   2.98702702  -0.07829143  -0.15603055]
 [-59.80438756   2.70442433   0.           0.        ]]",[-2.50004888  0.53601098],[-2.3890252   0.18416596]
19,-0.184578128061,[-0.18070313 -0.26136664],"[ 1.15123624 -0.58002047 -0.0743151  -0.34699384 -0.66865879 -1.36836322
 -0.97716186 -0.33245507  0.27406364  1.49495255  0.        ]",-0.666868,"[[-12.65394773   3.01421609  -0.07829143  -0.15603055]
 [-62.57996761   0.25128493   0.           0.        ]]",[-2.62047434  0.56746227],[-2.36492904  0.02032607]
