timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.152421249062,[ 0.00283095 -0.10798573],"[ 1.07302577  1.56055911 -0.07777456 -0.35744415  0.63872059  0.60768397
  0.3589957  -0.27212942  0.65330189 -0.60847655  0.        ]",-0.229415,"[[-0.083218    0.08223973  0.07914327  0.07031529]
 [ 0.00279278 -0.00059928  0.          0.        ]]",[-0.03922784  0.92976534],[-1.35126852  0.6335692 ]
1,-0.154998275846,[ 0.00283095 -0.10798573],"[ 1.06735643  1.55760577 -0.1379666  -0.3009688   0.63871452  0.60767836
  0.06826221  0.07094164  0.65045867 -0.65025377  0.        ]",-0.524742,"[[-0.12286304  0.1074136   0.07914327  0.07031529]
 [-3.95411982  2.50961409  0.          0.        ]]",[-0.03988259  0.92561674],[ 1.0005027   0.82721984]
2,-0.153969041912,[ 0.00283095 -0.10798573],"[ 1.05975401  1.54260892 -0.19631973 -0.11706302  0.63870846  0.60767275
  0.36457527  0.5115934   0.64654703 -0.64268881  0.        ]",-0.362281,"[[-0.16148261  0.18995532  0.07914327  0.07031529]
 [ 0.07874864  5.73382047  0.          0.        ]]",[-0.03319573  0.92212063],[-0.51623931  1.28230537]
3,-0.145904364689,[ 0.00283095 -0.10798573],"[ 1.05527003  1.49320292 -0.22481603  0.21581419  0.6387024   0.60766714
  0.2143029   1.03733447  0.6348606  -0.54574659  0.        ]",-0.367944,"[[-0.18042766  0.34322846  0.07914327  0.07031529]
 [-1.9664308   9.58066627  0.          0.        ]]",[-0.04978023  0.90063661],[-0.31466703  1.53718995]
4,-0.134328188216,[ 0.00283095 -0.10798573],"[ 1.04065683  1.36929387 -0.3016685   0.67857354  0.63869633  0.60766153
  0.12560317  1.55259765  0.59489475 -0.44074879  0.        ]",-0.386241,"[[ -0.2318686    0.57267091   0.07914327   0.07031529]
 [ -3.17361046  13.35100443   0.           0.        ]]",[-0.06553365  0.87081206],[ 0.74415733 -0.65477244]
5,-0.118145726106,[ 0.00283095 -0.10798573],"[ 1.02928899  1.1836116  -0.35092243  1.09120292  0.63869027  0.60765592
  0.34662684  1.16197855  0.52421704 -0.31150929  0.        ]",-0.281449,"[[ -0.2651598    0.81101577   0.07914327   0.07031529]
 [ -0.16549229  10.49303069   0.           0.        ]]",[-0.05756386  0.86704075],[-0.56788352  0.46949432]
6,-0.100390412159,[ 0.00283095 -0.10798573],"[ 1.01944686  0.96286956 -0.38882239  1.39793783  0.63868421  0.60765031
  0.18176149  1.38772119  0.42996277 -0.19740331  0.        ]",-0.314901,"[[ -0.29098169   1.03745098   0.07914327   0.07031529]
 [ -2.40924215  12.144964     0.           0.        ]]",[-0.08124524  0.82791615],[ 0.19417396  0.3701721 ]
7,-0.0793731421477,[ 0.00283095 -0.10798573],"[ 1.00246419  0.67666589 -0.44694374  1.62427223  0.63867814  0.6076447
  0.24172676  1.55511318  0.30156336 -0.10895923  0.        ]",-0.359939,"[[ -0.33097873   1.29264157   0.07914327   0.07031529]
 [ -1.59311495  13.37002194   0.           0.        ]]",[-0.1049014   0.78277552],[ 1.37285234 -0.02070441]
8,-0.0521003975626,[ 0.00283095 -0.10798573],"[  1.00608656e+00   3.58023631e-01  -4.35133966e-01   1.71061516e+00
   6.38672080e-01   6.07639086e-01   5.34879216e-01   1.50758856e+00
   1.24190054e-01  -4.54290115e-04   0.00000000e+00]",-0.379307,"[[ -0.32281233   1.5565551    0.07914327   0.07031529]
 [  2.39661216  13.02252763   0.           0.        ]]",[-0.12714389  0.73808676],[ 1.65149151  0.84464973]
9,-0.0211383455021,[ 0.00283095 -0.10798573],"[ 1.03937591  0.00567944 -0.30724967  1.62479529  0.63866602  0.60763348
  0.82227298  1.92928037 -0.1357747   0.10884625  0.        ]",-0.320179,"[[ -0.23563853   1.84796827   0.07914327   0.07031529]
 [  6.30801081  16.10852298   0.           0.        ]]",[-0.18491443  0.65404952],[ 0.40513078  0.91946242]
10,-0.0388460378614,[ 0.00283095 -0.10798573],"[ 1.07147548 -0.38311844 -0.09508249  1.27462944  0.63865996  0.60762787
  0.93106328  2.38309937 -0.46957194  0.09716463  0.        ]",-0.290303,"[[ -0.09462316   2.20346401   0.07914327   0.07031529]
 [  7.78874361  19.42999172   0.           0.        ]]",[-0.2344057   0.58874547],[-0.76141208  1.42610208]
11,-0.0782256641711,[ 0.00283095 -0.10798573],"[ 1.07706411 -0.72539338  0.09400096  0.56459841  0.63865389  0.60762226
  0.69838681  2.87145701 -0.74327174 -0.13589631  0.        ]",-0.302189,"[[  0.02938288   2.62793135   0.07914327   0.07031529]
 [  4.62224908  23.00482384   0.           0.        ]]",[-0.26958588  0.5498246 ],[ 0.19268558  1.38647999]
12,-0.113212210199,[ 0.00283095 -0.10798573],"[ 1.06620143 -0.88312558  0.24489491 -0.50120327  0.63864783  0.60761665
  0.74777252  2.63874656 -0.82936047 -0.53936985  0.        ]",-0.282693,"[[  0.1285771    3.12318587   0.07914327   0.07031529]
 [  5.29446418  21.30293512   0.           0.        ]]",[-0.27342626  0.54688334],[ 0.01933588 -0.10155429]
13,-0.120227451396,[ 0.00283095 -0.10798573],"[ 1.03978911 -0.8765874   0.40337131 -0.77875036  0.63864177  0.60761104
  0.74561002 -0.57726005 -0.80173445 -0.65441755  0.        ]",-0.245271,"[[ 0.23416901  3.24654732  0.07914327  0.07031529]
 [ 5.26514048 -2.23209854  0.          0.        ]]",[-0.23342146  0.60884434],[-0.26476332 -1.3886943 ]
14,-0.115600665413,[ 0.00283095 -0.10798573],"[ 1.00373976 -0.88323086  0.54080284 -0.56859421  0.63863571  0.60760543
  0.66090395 -1.18292072 -0.8218775  -0.57823856  0.        ]",-0.225763,"[[ 0.32790622  3.15309876  0.07914327  0.07031529]
 [ 4.11243859 -6.66449222  0.          0.        ]]",[-0.2170123   0.63522452],[-0.68952788 -0.2594949 ]
15,-0.11079726502,[ 0.00283095 -0.10798573],"[ 0.97768976 -0.87285099  0.6181445  -0.24881351  0.63862965  0.60759982
  0.4543129  -1.30528948 -0.85358455 -0.4698485   0.        ]",-0.342671,"[[ 0.38194629  3.01082228  0.07914327  0.07031529]
 [ 1.30094339 -7.5601692   0.          0.        ]]",[-0.20953436  0.646869  ],[ 1.17866416  1.3801527 ]
16,-0.108640753836,[ 0.00283095 -0.10798573],"[ 0.94109898 -0.84799401  0.70962161 -0.00537666  0.63862359  0.60759421
  0.74335201 -0.74374066 -0.87885836 -0.38857348  0.        ]",-0.244696,"[[ 0.44743328  2.90085008  0.07914327  0.07031529]
 [ 5.23462854 -3.45075453  0.          0.        ]]",[-0.21844421  0.62869745],[-1.57654532  1.62374481]
17,-0.109666819221,[ 0.00283095 -0.10798573],"[ 0.90020804 -0.83915211  0.79619367  0.05699438  0.63861752  0.60758861
  0.44481849 -0.19335754 -0.89290824 -0.37435345  0.        ]",-0.276866,"[[ 0.51136312  2.87224654  0.07914327  0.07031529]
 [ 1.17189939  0.57698333  0.          0.        ]]",[-0.23598069  0.60527211],[-0.49192024  0.90434506]
18,-0.110829874603,[ 0.00283095 -0.10798573],"[ 0.89770183 -0.85323646  0.8010597  -0.04650096  0.63861146  0.607583
  0.30000886  0.29438529 -0.88410468 -0.4128124   0.        ]",-0.262336,"[[ 0.51502852  2.91959851  0.07914327  0.07031529]
 [-0.79879132  4.14631704  0.          0.        ]]",[-0.24824566  0.58994675],[-0.45018671  0.08327213]
19,-0.112191906268,[ 0.00283095 -0.10798573],"[ 0.92001766 -0.87186301  0.75585854 -0.23583262  0.6386054   0.60757739
  0.1701946   0.22263964 -0.86120244 -0.47596881  0.        ]",-0.306686,"[[ 0.48132799  3.0050087   0.07914327  0.07031529]
 [-2.5654125   3.62129476  0.          0.        ]]",[-0.24966478  0.5882293 ],[ 0.25818549  1.16211764]
20,-0.112361821919,[ 0.00283095 -0.10798573],"[ 0.94501525 -0.87581227  0.70042149 -0.29458804  0.63859934  0.60757178
  0.24902799 -0.27398218 -0.85215585 -0.49342727  0.        ]",-0.270603,"[[ 0.44078363  3.03128256  0.07914327  0.07031529]
 [-1.49255466 -0.01296874  0.          0.        ]]",[-0.24224178  0.59861386],[-0.88298063  1.24009588]
21,-0.111186639765,[ 0.00283095 -0.10798573],"[ 0.98059254 -0.87478151  0.60987971 -0.27817444  0.63859328  0.60756618
 -0.00569368 -0.34052488 -0.85063628 -0.48007981  0.        ]",-0.276199,"[[ 0.37615238  3.02395253  0.07914327  0.07031529]
 [-4.95900793 -0.49994004  0.          0.        ]]",[-0.23763223  0.60380638],[ 0.27766724 -0.11851534]
22,-0.109237489886,[ 0.00283095 -0.10798573],"[ 1.02002453 -0.87254309  0.48413573 -0.24551039  0.63858722  0.60756057
  0.08230246 -0.4032904  -0.84706402 -0.45929017  0.        ]",-0.276853,"[[ 0.28898733  3.0093451   0.07914327  0.07031529]
 [-3.76148771 -0.95927188  0.          0.        ]]",[-0.2318764   0.61044526],[ 0.55246865 -0.68224186]
23,-0.106088887602,[ 0.00283095 -0.10798573],"[ 1.03892685 -0.86380658  0.40668711 -0.14288204  0.63858116  0.60755496
  0.24850008 -0.76982786 -0.84569435 -0.41616572  0.        ]",-0.280371,"[[ 0.23645034  2.96324715  0.07914327  0.07031529]
 [-1.49974609 -3.64158388  0.          0.        ]]",[-0.21560545  0.63287598],[ 0.80661051 -0.66973654]
24,-0.101232634055,[ 0.00283095 -0.10798573],"[ 1.0381471  -0.83653317  0.41016247  0.07375155  0.6385751   0.60754935
  0.48534699 -1.12232928 -0.84676517 -0.33440863  0.        ]",-0.318783,"[[ 0.23879475  2.86453296  0.07914327  0.07031529]
 [ 1.72344419 -6.22124038  0.          0.        ]]",[-0.20030478  0.65511143],[ 1.06298839  1.01998853]
25,-0.0999319793743,[ 0.00283095 -0.10798573],"[ 1.01026139 -0.80451679  0.51862353  0.25230956  0.63856904  0.60754375
  0.7737788  -0.56438809 -0.86000454 -0.27274546  0.        ]",-0.279121,"[[ 0.31264688  2.78107302  0.07914327  0.07031529]
 [ 5.64866661 -2.13837343  0.          0.        ]]",[-0.21127935  0.63477743],[-0.30682571  1.25517813]
26,-0.103709954204,[ 0.00283095 -0.10798573],"[ 0.96126651 -0.80337456  0.66082766  0.25782091  0.63856298  0.60753814
  0.67629716 -0.01752148 -0.8837819  -0.28298985  0.        ]",-0.33298,"[[ 0.41231111  2.77845731  0.07914327  0.07031529]
 [ 4.32218686  1.86346936  0.          0.        ]]",[-0.23053288  0.60951012],[ 1.18776002  1.5082021 ]
27,-0.110075033225,[ 0.00283095 -0.10798573],"[ 0.88184766 -0.83329039  0.83084235  0.09419728  0.63855692  0.60753253
  0.96095328  0.51853844 -0.90002426 -0.36447878  0.        ]",-0.256864,"[[ 0.53762235  2.85508518  0.07914327  0.07031529]
 [ 8.19605952  5.78623814  0.          0.        ]]",[-0.24782874  0.58951497],[-1.13457055  1.35628553]
28,-0.114920384982,[ 0.00283095 -0.10798573],"[ 0.78608676 -0.87249276  0.98529306 -0.24561584  0.63855086  0.60752693
  0.65809558  0.7780731  -0.86883022 -0.5001891   0.        ]",-0.266405,"[[ 0.66019413  3.00938628  0.07914327  0.07031529]
 [ 4.07475142  7.68549235  0.          0.        ]]",[-0.26205313  0.57414412],[-0.46982823  0.4733762 ]
29,-0.115820567102,[ 0.00283095 -0.10798573],"[ 0.73126994 -0.87945493  1.05821706 -0.36739375  0.6385448   0.60752132
  0.51544401 -0.2893507  -0.84623167 -0.54684863  0.        ]",-0.337194,"[[ 0.72221178  3.06372845  0.07914327  0.07031529]
 [ 2.13356571 -0.12557227  0.          0.        ]]",[-0.24975666  0.59379387],[ 0.52752832  2.05686692]
30,-0.11638213417,[ 0.00283095 -0.10798573],"[ 0.67129207 -0.87767753  1.12853871 -0.32976172  0.63853875  0.60751571
  0.66581418 -0.42177409 -0.8552212  -0.54057816  0.        ]",-0.258114,"[[ 0.7854147   3.04696923  0.07914327  0.07031529]
 [ 4.1799263  -1.09462072  0.          0.        ]]",[-0.24743691  0.59779292],[-0.29340531  0.38615196]
31,-0.117241726544,[ 0.00283095 -0.10798573],"[ 0.59914116 -0.87510105  1.20249334 -0.28477903  0.63853269  0.60751011
  0.57436276 -0.38615566 -0.86572409 -0.53556813  0.        ]",-0.262694,"[[ 0.85652754  3.02690071  0.07914327  0.07031529]
 [ 2.93550868 -0.83400193  0.          0.        ]]",[-0.24920037  0.59647971],[-1.01171908  1.37758324]
32,-0.117600825616,[ 0.00283095 -0.10798573],"[ 0.57970318 -0.87329353  1.22068043 -0.2575142   0.63852663  0.6075045
  0.27914084 -0.32969998 -0.8721363  -0.53023673  0.        ]",-0.28786,"[[ 0.87492996  3.01471506  0.07914327  0.07031529]
 [-1.08187956 -0.42090341  0.          0.        ]]",[-0.25094604  0.59444374],[ 0.1099731   0.38332399]
