timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.202385810124,[-0.18841147 -0.3033464 ],"[ 1.16230986  2.28470653  0.18538675 -1.00183941  0.07636243  0.41858037
  1.08886851 -0.37954132  1.25375147 -0.30321821  0.        ]",-1.06024,"[[ 0.0909803  -0.05382869  0.00986084  0.04633786]
 [ 0.00158004 -0.0029993   0.          0.        ]]",[ 0.39844292  1.94394016],[-0.63389887  2.74257707]
1,-0.202660889148,[-0.18841147 -0.3033464 ],"[ 1.16502296  2.28660705  0.14801012 -0.86327321  0.07636233  0.41857978
  1.01618769  0.17016111  1.25467163 -0.31120777  0.        ]",-1.11174,"[[ 0.06583638 -0.01415045  0.00986084  0.04633786]
 [-2.50761246  3.95762038  0.          0.        ]]",[ 0.14009899  1.70658362],[ 0.06595135  0.2280278 ]
2,-0.202588249546,[-0.18841147 -0.3033464 ],"[ 1.16776414  2.28291609  0.0779366  -0.55800391  0.07636224  0.41857919
  1.02516934  0.28458417  1.25378759 -0.31358001  0.        ]",-1.40467,"[[ 0.0187962   0.07327365  0.00986084  0.04633786]
 [-2.1974371   4.78204276  0.          0.        ]]",[ 0.10290873  1.69427085],[ 1.0051368   2.50840448]
3,-0.198481494651,[-0.18841147 -0.3033464 ],"[ 1.16785015  2.25615569  0.07221605 -0.09331444  0.07636215  0.4185786
  1.14096474  0.82078888  1.23733241 -0.19240244  0.        ]",-1.11192,"[[ 0.01495931  0.20767689  0.00986084  0.04633786]
 [ 1.80046477  8.64541262  0.          0.        ]]",[-0.31014526  1.4019804 ],[-0.01567708  1.34928814]
4,-0.188343066984,[-0.18841147 -0.3033464 ],"[ 1.16627906  2.16390654  0.1244003   0.60659212  0.07636206  0.41857801
  1.13809822  1.34659387  1.16940932  0.0615495   0.        ]",-0.609061,"[[  4.99761872e-02   4.18595999e-01   9.86084108e-03   4.63378584e-02]
 [  1.70160759e+00   1.24338719e+01   0.00000000e+00   0.00000000e+00]]",[-0.86354578  1.06725752],[-2.37938394  1.23245612]
5,-0.173785897348,[-0.18841147 -0.3033464 ],"[ 1.16666483  1.94806632  0.11545199  1.44948462  0.07636196  0.41857742
  1.02250661  1.86217432  1.04084205  0.27765109  0.        ]",-0.723292,"[[  4.39686079e-02   7.04545867e-01   9.86084108e-03   4.63378584e-02]
 [ -2.28906614e+00   1.61487061e+01   0.00000000e+00   0.00000000e+00]]",[-1.37524796  0.79105437],[-1.59917609  0.44280592]
6,-0.155245494228,[-0.18841147 -0.3033464 ],"[ 1.16683237  1.58206783 -0.01128951  2.20316958  0.07636187  0.41857683
  0.90921749  2.06129494  0.88502923  0.35898149  0.        ]",-0.606377,"[[ -4.10540582e-02   1.04191607e+00   9.86084108e-03   4.63378584e-02]
 [ -6.20026507e+00   1.75834700e+01   0.00000000e+00   0.00000000e+00]]",[-1.67908025  0.65022612],[-2.62305093  1.00523794]
7,-0.130573635503,[-0.18841147 -0.3033464 ],"[ 1.13952011  1.06428621 -0.25149723  2.6459169   0.07636178  0.41857624
  0.79813622  2.56260374  0.70756843  0.3133983   0.        ]",-0.643977,"[[ -2.03536050e-01   1.42982816e+00   9.86084108e-03   4.63378584e-02]
 [ -1.00352526e+01   2.11955974e+01   0.00000000e+00   0.00000000e+00]]",[-1.86696458  0.5227074 ],[-1.59095535  0.01480116]
8,-0.100243984378,[-0.18841147 -0.3033464 ],"[ 1.03546191  0.47235098 -0.58785981  2.54512228  0.07636169  0.41857565
  0.68924685  2.51247142  0.51027294  0.15917896  0.        ]",-0.563699,"[[ -4.41957197e-01   1.85011878e+00   9.86084108e-03   4.63378584e-02]
 [ -1.37945762e+01   2.08345476e+01   0.00000000e+00   0.00000000e+00]]",[-1.87909436  0.51485735],[-1.32320506 -0.0739652 ]
9,-0.0704051403089,[-0.18841147 -0.3033464 ],"[ 0.79335559 -0.03965754 -0.97175948  1.88356745  0.0763616   0.41857506
  0.58247732  2.41446346  0.30391388 -0.05645783  0.        ]",-0.370681,"[[ -7.54831211e-01   2.25972689e+00   9.86084108e-03   4.63378584e-02]
 [ -1.74807204e+01   2.01285279e+01   0.00000000e+00   0.00000000e+00]]",[-1.80735397  0.51992857],[-2.13714665 -0.06082489]
