timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.374029329545,[-0.19657436 -0.38687912],"[ 1.1806934   2.36925874  0.1094336  -0.85324881 -1.28136024 -0.85221236
  1.20495895 -0.385682    2.42758153  0.9507624   0.        ]",-2.40427,"[[  4.11255855e-02  -5.86968386e-03  -1.49023977e-01  -9.74128535e-02]
 [  1.26665288e-04  -2.19189185e-03   0.00000000e+00   0.00000000e+00]]",[-3.46457291  1.04168797],[-3.01973339  1.58682149]
1,-0.373011881212,[-0.19657436 -0.38687912],"[ 1.18185625  2.36843994  0.05046162 -0.70860711 -1.28135747 -0.85221116
  1.09884681  0.16484242  2.42819232  0.91536356  0.        ]",-2.16005,"[[  1.42214675e-03   3.38302001e-02  -1.49023977e-01  -9.74128535e-02]
 [ -3.95728916e+00   3.95897321e+00   0.00000000e+00   0.00000000e+00]]",[-3.63110638  0.83641934],[-4.23642796 -0.47695421]
2,-0.367851111101,[-0.19657436 -0.38687912],"[ 1.17248396  2.36294274 -0.12452819 -0.49240743 -1.28135471 -0.85220996
  0.99489511 -0.10831424  2.42344353  0.75283762  0.        ]",-2.27557,"[[-0.11662123  0.09328994 -0.14902398 -0.09741285]
 [-7.83414517  1.99354206  0.          0.        ]]",[-3.36428213  1.12266028],[-3.32872515  0.40868045]
3,-0.356150325024,[-0.19657436 -0.38687912],"[ 1.11547973  2.35314993 -0.40693658 -0.29086144 -1.28135195 -0.85220876
  0.89296235  0.11129678  2.38240526  0.44745305  0.        ]",-2.22906,"[[ -0.31144636   0.14901517  -0.14902398  -0.09741285]
 [-11.63571523   3.57369769   0.           0.        ]]",[-3.14173889  1.26318264],[-3.06284422  1.01597647]
4,-0.337017947325,[-0.19657436 -0.38687912],"[ 0.95504637  2.32059764 -0.76781014  0.10324187 -1.28134919 -0.85220756
  0.79301964  0.65194585  2.26532529  0.07887236  0.        ]",-2.11377,"[[ -0.58155814   0.25952018  -0.14902398  -0.09741285]
 [-15.3630748    7.46380224   0.           0.        ]]",[-2.95190859  1.33068299],[-2.76754725  0.86765421]
5,-0.308391585341,[-0.19657436 -0.38687912],"[ 0.63199198  2.22977331 -1.13862316  0.7261574  -1.28134643 -0.85220636
  0.69505271  1.10901173  2.04072969 -0.28954408  0.        ]",-2.16955,"[[ -0.92547745   0.44179375  -0.14902398  -0.09741285]
 [-19.01675383  10.75251332   0.           0.        ]]",[-2.84195614  1.4520396 ],[-0.99972324  2.03630453]
6,-0.267818170609,[-0.19657436 -0.38687912],"[ 0.11545269  2.0328595  -1.39858606  1.50010768 -1.28134367 -0.85220516
  0.59903282  1.62976321  1.69271947 -0.58105512  0.        ]",-1.56749,"[[ -1.34174116   0.69444002  -0.14902398  -0.09741285]
 [-22.59782209  14.49947844   0.           0.        ]]",[-2.86811256  1.4640429 ],[-3.98851912  1.63339614]
7,-0.214512951168,[-0.19657436 -0.38687912],"[-0.55001215  1.67538075 -1.38816066  2.27559372 -1.28134091 -0.85220396
  0.50485656  2.14004642  1.24949664 -0.69220515  0.        ]",-1.27013,"[[ -1.82893567   1.02127101  -0.14902398  -0.09741285]
 [-26.11013568  18.17116188   0.           0.        ]]",[-2.92523623  1.29786658],[-3.69603472  2.24258757]
8,-0.151951217869,[-0.19657436 -0.38687912],"[-1.20172438  1.13387422 -0.97077946  2.77114326 -1.28133815 -0.85220276
  0.41250708  2.64001643  0.80131044 -0.53906124  0.        ]",-0.955101,"[[ -2.3856925    1.42079213  -0.14902398  -0.09741285]
 [-29.55432113  21.76870328   0.           0.        ]]",[-2.98960781  0.91860628],[-3.27010889  0.68329444]
9,-0.0978326255712,[-0.19657436 -0.38687912],"[-1.56565595  0.47631773 -0.14561731  2.64039595 -1.28133539 -0.85220156
  0.32195594  2.95560545  0.48887642 -0.12519814  0.        ]",-0.802084,"[[ -3.01066072   1.87895299  -0.14902398  -0.09741285]
 [-32.93143834  24.03963058   0.           0.        ]]",[-2.79148293  0.65066475],[-2.29790253 -0.02332313]
10,-0.0986204374822,[-0.19657436 -0.38687912],"[-1.36605604 -0.10790368  0.83871509  1.75040668 -1.28133263 -0.85220036
  0.23318865  2.87602427  0.42940847  0.39689207  0.        ]",-0.895749,"[[ -3.70250566   2.35400169  -0.14902398  -0.09741285]
 [-36.24202775  23.46717275   0.           0.        ]]",[-2.64864302  0.45067424],[-2.27456048 -0.18788854]
11,-0.143139145775,[-0.19657436 -0.38687912],"[-0.5424605  -0.45698996  1.48699344  0.35032493 -1.28132987 -0.85219916
  0.14619733  2.70758975  0.62814074  0.76497733  0.        ]",-1.12527,"[[ -4.45990017   2.81118374  -0.14902398  -0.09741285]
 [-39.48638207  22.25535299   0.           0.        ]]",[-2.98036861  0.21105586],[-2.33742403  0.55950993]
12,-0.17020054721,[-0.19657436 -0.38687912],"[ 0.54570314 -0.53550214  1.29989564 -0.86112269 -1.28132711 -0.85219796
  0.06095692  0.34280499  0.85348126  0.79143503  0.        ]",-0.977091,"[[ -5.28152469   3.14962179  -0.14902398  -0.09741285]
 [-42.66543612   5.23971764   0.           0.        ]]",[-3.11665916  0.21866642],[-2.46083242 -0.10864527]
13,-0.168590891852,[-0.19657436 -0.38687912],"[ 1.17240901 -0.53551636  0.22193113 -0.85606278 -1.28132435 -0.85219676
 -0.02256714 -0.76640443  0.803782    0.85845917  0.        ]",-0.932808,"[[ -6.16608879   3.14823349  -0.14902398  -0.09741285]
 [-45.78047864  -2.74151984   0.           0.        ]]",[-3.07653856  0.41002199],[-2.6457811   0.89337582]
14,-0.182289235851,[-0.19657436 -0.38687912],"[ 0.73416499 -0.53359871 -1.04716628 -0.64314437 -1.28132159 -0.85219556
 -0.10442706 -0.75435716  0.85748659  0.97815009  0.        ]",-1.19331,"[[ -7.11233022   3.08977911  -0.14902398  -0.09741285]
 [-48.83345692  -2.65484161   0.           0.        ]]",[-3.06548834  0.5496254 ],[-2.49975936  0.58301763]
