timestep,original_rewards,logstd_action_dist,obs,rewards,human_obs,avg_action_dist,actions
0,-0.0877227888569,[-0.09753265 -0.19553579],"[ 1.12400217  1.91560697  0.12788713 -0.68222454  1.06965731 -0.15170914
  0.73985706 -0.34100933  0.36945275  0.22326591  0.        ]",-0.0590336,"[[ 0.0442985   0.00331433  0.12660439 -0.01822101]
 [ 0.00396133  0.0009821   0.          0.        ]]",[-0.77717948  1.28695619],[-2.69018872  1.51749837]
1,-0.0866422333516,[-0.09753265 -0.19553579],"[ 1.12533306  1.91437962  0.0681156  -0.56990962  1.06965013 -0.15170866
  0.57067181  0.20799849  0.37013081  0.19062934  0.        ]",-0.212407,"[[ 0.004671    0.04307706  0.12660439 -0.01822101]
 [-3.95353063  3.9620841   0.          0.        ]]",[-0.83304429  1.2246263 ],[-0.92130906  1.80911494]
2,-0.0836373711897,[-0.09753265 -0.19553579],"[ 1.11696893  1.89868185 -0.10487104 -0.23787787  1.06964295 -0.15170817
  0.41814162  0.74611214  0.36573148  0.0988026   0.        ]",-0.324621,"[[-0.11019751  0.16127336  0.12660439 -0.01822101]
 [-7.52144231  7.84459426  0.          0.        ]]",[-0.83728337  1.18433714],[ 0.20312449  2.07945695]
3,-0.0798037310033,[-0.09753265 -0.19553579],"[ 1.08205619  1.8338354  -0.31382393  0.29406255  1.06963577 -0.15170768
  0.45878814  1.27331958  0.34460425  0.03334066  0.        ]",-0.0730714,"[[ -0.25108655   0.35633069   0.12660439  -0.01822101]
 [ -6.570611    11.64846004   0.           0.        ]]",[-0.87049842  1.11767125],[-2.54319358  0.09398286]
4,-0.0731973999607,[-0.09753265 -0.19553579],"[ 1.00487761  1.69510887 -0.55541786  0.88214226  1.06962859 -0.1517072
  0.29521234  1.29309526  0.29828122 -0.04085469  0.        ]",-0.157685,"[[ -0.42088831   0.59073276   0.12660439  -0.01822101]
 [-10.39689217  11.79121947   0.           0.        ]]",[-0.78409398  1.12017179],[-1.44101399  1.15658196]
5,-0.0637802988641,[-0.09753265 -0.19553579],"[ 0.8299837   1.4595693  -0.87174802  1.45697045  1.06962141 -0.15170671
  0.13479859  1.80962706  0.20496361 -0.18959121  0.        ]",-0.216062,"[[ -0.66647341   0.86395188   0.12660439  -0.01822101]
 [-14.14921049  15.51817523   0.           0.        ]]",[-0.75146639  1.02654898],[-0.39383013  1.45544684]
6,-0.0522815538489,[-0.09753265 -0.19553579],"[ 0.53411765  1.07288947 -1.17697648  1.95292976  1.06961423 -0.15170623
  0.08007049  2.31573169  0.04492858 -0.31155317  0.        ]",-0.158357,"[[ -9.62301637e-01   1.21095684e+00   1.26604387e-01  -1.82210097e-02]
 [ -1.54293764e+01   1.91700829e+01   0.00000000e+00   0.00000000e+00]]",[-0.76519656  0.87165302],[-1.3790589   0.98586977]
7,-0.0436674928271,[-0.09753265 -0.19553579],"[ 0.10432201  0.53835028 -1.39581483  2.1289544   1.06960705 -0.15170574
 -0.07613905  2.80401224 -0.1908388  -0.36736149  0.        ]",-0.186448,"[[ -1.30754898e+00   1.62971336e+00   1.26604387e-01  -1.82210097e-02]
 [ -1.90833448e+01   2.26936654e+01   0.00000000e+00   0.00000000e+00]]",[-0.8378157   0.66046256],[-0.69620465  1.28419857]
8,-0.0545224136013,[-0.09753265 -0.19553579],"[-0.4505413  -0.06263109 -1.43253156  1.72010139  1.06959987 -0.15170525
 -0.17788393  3.29019977 -0.49755934 -0.31648643  0.        ]",-0.199612,"[[ -1.71309441e+00   2.11879299e+00   1.26604387e-01  -1.82210097e-02]
 [ -2.14633080e+01   2.62025392e+01   0.00000000e+00   0.00000000e+00]]",[-0.84054273  0.56342769],[-0.29740882 -0.29059466]
9,-0.0849147749307,[-0.09753265 -0.19553579],"[-1.01015023 -0.51660491 -1.20173375  0.70127199  1.0695927  -0.15170477
 -0.21011252  3.05854587 -0.80697609 -0.1319554   0.        ]",-0.216199,"[[ -2.14992510e+00   2.62607918e+00   1.26604387e-01  -1.82210097e-02]
 [ -2.22171920e+01   2.45317478e+01   0.00000000e+00   0.00000000e+00]]",[-0.81375229  0.54804611],[-0.46555491  1.7863053 ]
