timestep,avg_action_dist,obs,rewards,actions,original_rewards,logstd_action_dist,human_obs
0,[ 1.97757638  1.74990141],"[ 1.19930081  1.58340974 -0.14119607 -1.97497837  1.55838096 -1.19406051
 -1.14001413 -0.25943574  0.03086556  0.76103165  0.        ]",-2.57839,[ 3.16177975  1.94881142],-0.134812099562,[-0.29994965 -0.7203235 ],"[[-0.07371119  0.09670842  0.17945956 -0.13621175]
 [ 0.00153872  0.00274505  0.          0.        ]]"
1,[ 1.82270169  1.47803962],"[ 1.20224684  1.57068335 -0.08258539 -1.85752385  1.5583774  -1.19405859
 -1.03308306  0.68137302  0.02894104  0.83891265  0.        ]",-2.05993,[ 1.7072938   1.49207145],-0.147129964378,[-0.29994965 -0.7203235 ],"[[-0.03400549  0.1364752   0.17945956 -0.13621175]
 [ 3.95587652  3.96074685  0.          0.        ]]"
2,[ 1.67341876  1.1089313 ],"[ 1.19817862  1.50758004  0.09171936 -1.51308669  1.55837385 -1.19405666
 -0.9282633   1.60355569 -0.00543313  1.0666233   0.        ]",-1.56574,[ 1.85990438  0.76617632],-0.182713120832,[-0.29994965 -0.7203235 ],"[[ 0.08400338  0.25461599  0.17945956 -0.13621175]
 [ 7.83214683  7.84040024  0.          0.        ]]"
3,[ 1.61991072  0.4241142 ],"[ 1.14979009  1.33393616  0.37449282 -0.9946661   1.5583703  -1.19405473
 -0.82549573  2.28739092 -0.14662546  1.40465485  0.        ]",-2.37126,[ 3.73277961  0.64125682],-0.236181423798,[-0.29994965 -0.7203235 ],"[[  0.27877566   0.44028953   0.17945956  -0.13621175]
 [ 11.6325334   10.71734894   0.           0.        ]]"
4,[ 1.73380959 -0.8820715 ],"[ 1.00048277  0.98798667  0.73890235 -0.39690094  1.55836674 -1.19405281
 -0.72473205  2.8400633  -0.47225417  1.74703014  0.        ]",-1.06453,[ 2.59298251 -0.61701271],-0.297452194985,[-0.29994965 -0.7203235 ],"[[  0.54881133   0.67796627   0.17945956  -0.13621175]
 [ 15.35882105  13.04253158   0.           0.        ]]"
5,[ 1.62862968 -1.33572495],"[ 0.68903341  0.53019499  1.11894484  0.08881792  1.55836319 -1.19405088
 -0.62589346  2.19745865 -0.96303189  1.92614602  0.        ]",0.582717,[ 1.10553612 -1.57300348],-0.351169551159,[-0.29994965 -0.7203235 ],"[[  0.89265995   0.91169319   0.17945956  -0.13621175]
 [ 19.01392195  10.33909616   0.           0.        ]]"
6,[ 1.50945592 -1.17174852],"[ 0.18087109  0.15023583  1.39562647  0.3559884   1.55835964 -1.19404896
 -0.52899936  1.20700316 -1.48998245  1.84732956  0.        ]",0.465612,[ 0.76829905 -1.47743286],-0.386775976462,[-0.29994965 -0.7203235 ],"[[  1.30889042   1.07666822   0.17945956  -0.13621175]
 [ 22.59711757   6.17219595   0.           0.        ]]"
7,[ 1.538221   -0.45023912],"[-0.47197496 -0.0536477   1.41166196  0.46326202  1.55835609 -1.19404703
 -0.45883023  0.23608658 -1.92347134  1.52183416  0.        ]",-0.907774,[ 1.33476707 -0.25543595],-0.400646742701,[-0.29994965 -0.7203235 ],"[[  1.7868694    1.1591298    0.17945956  -0.13621175]
 [ 25.19200677   2.08748836   0.           0.        ]]"
8,[ 1.53388381 -0.35480648],"[-1.12109398 -0.13268903  1.04470746  0.49900058  1.55835253 -1.1940451
 -0.36529113 -0.0150473  -2.16297851  0.99125826  0.        ]",-1.87471,[ 2.61174667 -0.81546532],-0.388925670342,[-0.29994965 -0.7203235 ],"[[  2.3254163    1.19028025   0.17945956  -0.13621175]
 [ 28.65113522   1.03095264   0.           0.        ]]"
9,[ 1.38382638  0.32711834],"[-1.52550076 -0.10205022  0.27459393  0.4855174   1.55834898 -1.19404318
 -0.27360065 -0.78848014 -2.10066507  0.36130858  0.        ]",-2.62783,[ 2.31378425  0.34462685],-0.345953885209,[-0.29994965 -0.7203235 ],"[[  2.93246097   1.1782534    0.17945956  -0.13621175]
 [ 32.04190149  -2.22292827   0.           0.        ]]"
10,[ 0.92924523  0.07911497],"[-1.40907507 -0.02534837 -0.69531576  0.44969612  1.55834543 -1.19404125
 -0.18376378 -0.45494154 -1.66642466 -0.1596315   0.        ]",-1.08164,[ 0.56476954 -0.51649776],-0.264860588645,[-0.29994965 -0.7203235 ],"[[  3.60663136   1.14787515   0.17945956  -0.13621175]
 [ 35.36412046  -0.81971367   0.           0.        ]]"
11,[ 0.56653452  0.70587897],"[-0.69179513  0.0661798  -1.40354542  0.40294664  1.55834187 -1.19403932
 -0.14225308 -0.93851311 -0.97144818 -0.28319631  0.        ]",-1.55744,[ 1.80095652  0.55723537],-0.148756193204,[-0.29994965 -0.7203235 ],"[[  4.32931674   1.11106949   0.17945956  -0.13621175]
 [ 36.89920763  -2.854131     0.           0.        ]]"
12,[ 0.33051163  0.6640771 ],"[ 0.34466218  0.15033636 -1.40120812  0.35592787  1.55833832 -1.1940374
 -0.05502667 -0.40218759 -0.32974509  0.14997204  0.        ]",-0.89956,[ 0.30827104  1.53305806],-0.045397929682,[-0.29994965 -0.7203235 ],"[[  5.09966419   1.07662701   0.17945956  -0.13621175]
 [ 40.12488932  -0.59778132   0.           0.        ]]"
13,[ 0.6495443 -0.1530669],"[ 1.10630272  0.08245771 -0.57622925  0.39415955  1.55833477 -1.19403547
 -0.04352595  0.54029468 -0.16841291  1.01408741  0.        ]",0.133526,[ 1.07349034  0.53339648],-0.172640344157,[-0.29994965 -0.7203235 ],"[[  5.90642693   1.10445464   0.17945956  -0.13621175]
 [ 40.55019102   3.36729323   0.           0.        ]]"
14,[ 1.19148922 -1.19766271],"[ 1.05603023 -0.13771114  0.63180339  0.50116436  1.55833122 -1.19403355
  0.04180636  1.02460646 -0.71819886  1.73953815  0.        ]",0.910458,[ 1.00603952 -1.34108604],-0.307339207036,[-0.29994965 -0.7203235 ],"[[  6.74909039   1.19224583   0.17945956  -0.13621175]
 [ 43.7058259    5.40482334   0.           0.        ]]"
15,[ 1.43710482 -0.5898239 ],"[ 0.09739442 -0.31163668  1.41665147  0.56873283  1.55832766 -1.19403162
  0.12548733  0.0558226  -1.61656994  1.72301863  0.        ]",-0.583327,[ 1.17447019 -0.0219184 ],-0.385059841233,[-0.29994965 -0.7203235 ],"[[  7.65425816   1.2594514    0.17945956  -0.13621175]
 [ 46.80039379   1.32910048   0.           0.        ]]"
16,[ 1.4735105  -0.76624525],"[-1.13316222 -0.37825952  1.03239446  0.59091014  1.55832411 -1.19402969
  0.20746728  0.02646959 -2.13999728  0.92063398  0.        ]",-0.737695,[ 1.0632975  -1.15502143],-0.380443228615,[-0.29994965 -0.7203235 ],"[[  8.62068361   1.28479651   0.17945956  -0.13621175]
 [ 49.83205703   1.20561107   0.           0.        ]]"
17,[ 1.1266036   0.19665885],"[-1.52158957 -0.33621947 -0.3583657   0.57714814  1.55832056 -1.19402777
  0.28782677 -0.92314994 -1.7905323  -0.01812743  0.        ]",-2.50242,[ 2.03695083  0.54481928],-0.285779984028,[-0.29994965 -0.7203235 ],"[[  9.647144     1.26882665   0.17945956  -0.13621175]
 [ 52.80379508  -2.78948608   0.           0.        ]]"
18,[ 0.36350492 -0.0429244 ],"[-0.53503744 -0.24815761 -1.45980294  0.54571881  1.558317   -1.19402584
  0.3665452  -0.4002926  -0.80409339 -0.18307988  0.        ]",-0.145747,[ 0.95556587 -0.02934989],-0.116774316794,[-0.29994965 -0.7203235 ],"[[ 10.73242591   1.23510904   0.17945956  -0.13621175]
 [ 55.71484704  -0.58980312   0.           0.        ]]"
19,[ 0.39588088  0.36384487],"[ 0.88508719 -0.21451877 -0.97651925  0.53276356  1.55831345 -1.19402392
  0.43897766 -0.42845546 -0.18703872  0.7395911   0.        ]",0.0060997,[ 0.34416715  1.24809594],-0.128113534399,[-0.29994965 -0.7203235 ],"[[ 11.87359815   1.22212618   0.17945956  -0.13621175]
 [ 58.39344215  -0.70828689   0.           0.        ]]"
20,[ 1.12366915 -0.94041514],"[ 1.04897888 -0.28089706  0.64662852  0.55781893  1.5583099  -1.19402199
  0.44455371  0.51272684 -0.76311736  1.74027153  0.        ]",0.977452,[ 0.86696298 -1.44322655],-0.310069054223,[-0.29994965 -0.7203235 ],"[[ 13.0435327    1.24768872   0.17945956  -0.13621175]
 [ 58.59965992   3.25130674   0.           0.        ]]"
21,[ 1.49804032 -0.09371039],"[-0.31555423 -0.34505509  1.43847932  0.58010462  1.55830635 -1.19402006
  0.50601242 -0.44739045 -1.85783338  1.53418224  0.        ]",-1.36195,[ 2.35624064 -0.05067172],-0.393256818807,[-0.29994965 -0.7203235 ],"[[ 14.23833282   1.27218976   0.17945956  -0.13621175]
 [ 60.87244142  -0.78794486   0.           0.        ]]"
22,[ 1.3414259  -0.16285235],"[-1.52091668 -0.29844462  0.29687989  0.56410008  1.55830279 -1.19401814
  0.58043745 -0.49533389 -2.06633959  0.34837767  0.        ]",-1.55511,[ 1.15924817 -0.40838033],-0.339713512496,[-0.29994965 -0.7203235 ],"[[ 15.48339638   1.25440935   0.17945956  -0.13621175]
 [ 63.62472452  -0.98964634   0.           0.        ]]"
23,[ 0.60026133  0.40030336],"[-0.83243304 -0.20492032 -1.3326812   0.52896751  1.55829924 -1.19401621
  0.65338507 -0.87930326 -1.03276106 -0.25618732  0.        ]",-1.31935,[ 2.01173232  0.04567909],-0.158043825036,[-0.29994965 -0.7203235 ],"[[ 16.78295874   1.21841089   0.17945956  -0.13621175]
 [ 66.3223752   -2.60502284   0.           0.        ]]"
24,[ 0.52049994  0.82330048],"[ 0.8664869  -0.07719272 -1.00003639  0.47422981  1.55829569 -1.19401429
  0.72486549 -0.82858982 -0.17248228  0.68545254  0.        ]",-0.45421,[ 0.9084891   1.85919249],-0.119181976041,[-0.29994965 -0.7203235 ],"[[ 18.13592819   1.16845287   0.17945956  -0.13621175]
 [ 68.96577162  -2.39167364   0.           0.        ]]"
25,[ 1.29549778 -0.31805187],"[ 0.88923594 -0.05740935  0.90648256  0.46502771  1.55829214 -1.19401236
  0.78514315  0.11907688 -0.90649677  1.83029554  0.        ]",-0.0169585,[ 1.35651397 -0.1044052 ],-0.332945178907,[-0.29994965 -0.7203235 ],"[[ 19.53760532   1.16062288   0.17945956  -0.13621175]
 [ 71.1948895    1.59519114   0.           0.        ]]"
26,[ 1.48511446 -0.40418154],"[-0.91676345 -0.12647741  1.2149124   0.49629795  1.55828858 -1.19401043
  0.85407826  0.00815825 -2.11071331  1.18535453  0.        ]",-1.31152,[ 1.61979974 -0.42615257],-0.39581901547,[-0.29994965 -0.7203235 ],"[[ 20.98708115   1.18784761   0.17945956  -0.13621175]
 [ 73.74416698   1.12855321   0.           0.        ]]"
